"existing_resource_id","existing_resource_name","current_category","current_rarity","current_discovery_tier","current_planet_profile_references","current_runtime_references","current_economy_references","current_crafting_references","current_research_references","proposed_primary_category","proposed_subcategory","proposed_secondary_categories","proposed_tags","resource_type","keep_as_resource","move_to_discoveries","discovery_category","existing_discovery_match","duplicate_candidate","periodic_element_match","atomic_number","migration_required","replacement_resource_id","replacement_discovery_id","save_compatibility_risk","notes"
"RES-0001","Stone","Mineral","Common","Earth","22","1","1","2","0","Rocks and Geological Materials","Rock Types","","Mineral;Common;Earth","Rock","true","false","","","false","false","","false","RES-0001","","Low: stable ID preserved","Canonical record retained."
"RES-0002","Sand","Mineral","Common","Earth","14","1","1","2","0","Rocks and Geological Materials","Sediments and Soils","","Mineral;Common;Earth","Rock","true","false","","","false","false","","false","RES-0002","","Low: stable ID preserved","Canonical record retained."
"RES-0003","Clay","Mineral","Common","Earth","10","1","1","2","0","Rocks and Geological Materials","Sediments and Soils","","Mineral;Common;Earth","Rock","true","false","","","false","false","","false","RES-0003","","Low: stable ID preserved","Canonical record retained."
"RES-0004","Soil","Organic/Mineral","Common","Earth","5","1","1","2","0","Rocks and Geological Materials","Sediments and Soils","","Organic/Mineral;Common;Earth","Rock","true","false","","","false","false","","false","RES-0004","","Low: stable ID preserved","Canonical record retained."
"RES-0005","Wood","Organic","Common","Earth","8","1","1","2","0","Organic Materials","Plant Fibers","","Organic;Common;Earth","Organic","true","false","","","false","false","","false","RES-0005","","Low: stable ID preserved","Canonical record retained."
"RES-0006","Fresh Water","Liquid","Common","Earth","13","1","1","2","0","Liquids","Fresh and Atmospheric Water","","Liquid;Common;Earth","Liquid","true","false","","","false","false","","false","RES-0006","","Low: stable ID preserved","Canonical record retained."
"RES-0007","Salt","Mineral","Common","Earth","6","1","1","2","0","Chemicals and Compounds","Salts","","Mineral;Common;Earth","Compound","true","false","","","false","false","","false","RES-0007","","Low: stable ID preserved","Canonical record retained."
"RES-0008","Limestone","Mineral","Common","Earth","12","1","1","2","0","Rocks and Geological Materials","Rock Types","","Mineral;Common;Earth","Rock","true","false","","","false","false","","false","RES-0008","","Low: stable ID preserved","Canonical record retained."
"RES-0009","Coal","Fuel","Common","Earth","2","1","1","2","0","Fuels","Fossil Fuels","","Fuel;Common;Earth","Fuel","true","false","","","false","false","","false","RES-0009","","Low: stable ID preserved","Canonical record retained."
"RES-0010","Iron","Metal","Common","Earth","46","1","1","2","0","Elements","Transition Metal","","Metal;Common;Earth;Transition Metal;Fe","Element","true","false","","","false","true","26","false","RES-0010","","Low: stable ID preserved","Canonical record retained."
"RES-0011","Copper","Metal","Common","Earth","25","1","1","2","0","Elements","Transition Metal","","Metal;Common;Earth;Transition Metal;Cu","Element","true","false","","","false","true","29","false","RES-0011","","Low: stable ID preserved","Canonical record retained."
"RES-0012","Tin","Metal","Common","Earth","0","1","1","2","0","Elements","Post-Transition Metal","","Metal;Common;Earth;Post-Transition Metal;Sn","Element","true","false","","","false","true","50","false","RES-0012","","Low: stable ID preserved","Canonical record retained."
"RES-0013","Lead","Metal","Common","Earth","0","1","1","2","0","Elements","Post-Transition Metal","","Metal;Common;Earth;Post-Transition Metal;Pb","Element","true","false","","","false","true","82","false","RES-0013","","Low: stable ID preserved","Canonical record retained."
"RES-0014","Zinc","Metal","Common","Earth","0","1","1","2","0","Elements","Transition Metal","","Metal;Common;Earth;Transition Metal;Zn","Element","true","false","","","false","true","30","false","RES-0014","","Low: stable ID preserved","Canonical record retained."
"RES-0015","Sulfur","Chemical","Common","Earth","23","1","1","2","0","Elements","Reactive Nonmetal","","Chemical;Common;Earth;Reactive Nonmetal;S","Element","true","false","","","false","true","16","false","RES-0015","","Low: stable ID preserved","Canonical record retained."
"RES-0016","Quartz","Crystal","Uncommon","Earth","16","1","1","1","0","Crystals","Industrial Crystals","","Crystal;Uncommon;Earth","Crystal","true","false","","","false","false","","false","RES-0016","","Low: stable ID preserved","Canonical record retained."
"RES-0017","Granite","Mineral","Uncommon","Earth","2","1","1","1","0","Rocks and Geological Materials","Rock Types","","Mineral;Uncommon;Earth","Rock","true","false","","","false","false","","false","RES-0017","","Low: stable ID preserved","Canonical record retained."
