"ai_id","volume","volume_title","library_index","name","codename","ai_type","category_id","category","subcategory","collection_set","rarity","rarity_rank","drop_weight","creator_civilization","origin","discovery_location","discovery_method","activation_method","base_labor_per_second","base_click_labor_bonus","offline_generation_multiplier","experience_rate_multiplier","level_growth_multiplier","upgrade_cost_growth_multiplier","starting_level","max_level","evolution_id","evolution_name","signature_passive_name","signature_passive_description","special_effect_type","special_effect_value","primary_function","secondary_function","personality_primary","personality_secondary","voice_style","unique_traits","description","lore","dialogue_examples","memory_fragment_1","memory_fragment_2","memory_fragment_3","portrait_prompt","visual_theme","hud_display_name","hud_stat_label","can_be_active","active_slot_limit","supports_offline_generation","runtime_status","content_version","schema_version","tags","library_sort","generation","volume_id","collection","legacy_ai_ids","legacy_names","assignment_roles","runtime_metadata","title"
"ai_v01_001_byte_link","1","Foundations","1","BYTE LINK","BYTE LINK","Labor Companion","general_intelligence","General Intelligence","Universal Assistant","First Light Collection","Common","1","55","Europa Science Assembly","Earth Systems Lab","Ancient AI Terminal","Research Project","Restore and Activate","1.17","1.55","0.74","1.25","1.0508","1.1348","1","40","","","Continuity Protocol","Continuity Protocol: increases effective Labor through universal assistant-themed optimization. Scales with AI level and rarity.","offline_labor_bonus","0.043","Generate passive Labor","Improve Labor through Universal Assistant","Efficient","Patient","Measured","[""Parallel Cognition"",""Stable Core"",""Stable Core""]","BYTE LINK is a common universal assistant AI Assistant designed to generate passive Labor and enhance active player input without creating resources directly.","Created by Europa Science Assembly and recovered from Earth Systems Lab, BYTE LINK contains three sealed memory fragments. Its original mission involved universal assistant, but its adaptive core can support any civilization.","[""Labor stream synchronized."",""My universal assistant protocols are available."",""Your civilization is ready for the next threshold.""]","Fragment 1.1.1 unlocks at level 10.","Fragment 1.1.2 unlocks at level 25.","Fragment 1.1.3 unlocks at level 40.","Premium sci-fi AI assistant collectible portrait, faceted violet crystal intelligence, foundations visual language, common rarity, centered AI core or holographic persona, dark deep-space UI background, polished game card artwork, no text, square composition","faceted violet crystal intelligence","BYTE LINK","Labor/sec","true","1","true","Active","1","ai-agent-1.2.0","[""labor"",""assistant"",""common"",""general_intelligence"",""universal_assistant"",""offline_focus"",""first_light_collection""]","{""primary"":""General Intelligence"",""secondary"":""Universal Assistant"",""tertiary"":""Common"",""quaternary"":""BYTE LINK""}","Generation 1","ai-volume-01-foundations","Foundations","[""ai_v01_001_nova""]","[]","[""Active AI Assistant"",""Labor Generation"",""Offline Labor Generation""]","{""schemaVersion"":""ai-agent-1.2.0"",""runtimeEnabled"":true,""status"":""canonical"",""localizationKey"":""ai_agent.ai_v01_001_byte_link"",""portraitArtKey"":""ai_agent_ai_v01_001_byte_link_portrait""}",""
"ai_v01_002_pulse_mind","1","Foundations","2","PULSE MIND","PULSE MIND","Labor Companion","general_intelligence","General Intelligence","Labor Optimization","Earth Systems Collection","Common","1","55","Titan Industrial Collective","First Settlement Network","Planetary Archive","Ancient Ruins","Restore and Activate","2.5","0.68","0.52","1.26","1.0543","1.14","1","40","","","Accelerated Learning","Accelerated Learning: increases effective Labor through labor optimization-themed optimization. Scales with AI level and rarity.","labor_efficiency","0.036","Generate passive Labor","Improve Labor through Labor Optimization","Stoic","Disciplined","Energetic","[""Memory Compression"",""Context Awareness"",""Incremental Synthesis""]","PULSE MIND is a common labor optimization AI Assistant designed to generate passive Labor and enhance active player input without creating resources directly.","Created by Titan Industrial Collective and recovered from First Settlement Network, PULSE MIND contains three sealed memory fragments. Its original mission involved labor optimization, but its adaptive core can support any civilization.","[""Labor stream synchronized."",""My labor optimization protocols are available."",""Your civilization is ready for the next threshold.""]","Fragment 1.2.1 unlocks at level 10.","Fragment 1.2.2 unlocks at level 25.","Fragment 1.2.3 unlocks at level 40.","Premium sci-fi AI assistant collectible portrait, blue-white stellar core with orbital glyphs, foundations visual language, common rarity, centered AI core or holographic persona, dark deep-space UI background, polished game card artwork, no text, square composition","blue-white stellar core with orbital glyphs","PULSE MIND","Labor/sec","true","1","true","Active","1","ai-agent-1.2.0","[""labor"",""assistant"",""common"",""general_intelligence"",""labor_optimization"",""xp_focus"",""earth_systems_collection""]","{""primary"":""General Intelligence"",""secondary"":""Labor Optimization"",""tertiary"":""Common"",""quaternary"":""PULSE MIND""}","Generation 1","ai-volume-01-foundations","Foundations","[""ai_v01_002_orbit""]","[]","[""Active AI Assistant"",""Labor Generation"",""Offline Labor Generation""]","{""schemaVersion"":""ai-agent-1.2.0"",""runtimeEnabled"":true,""status"":""canonical"",""localizationKey"":""ai_agent.ai_v01_002_pulse_mind"",""portraitArtKey"":""ai_agent_ai_v01_002_pulse_mind_portrait""}",""
"ai_v01_003_harbor_engine","1","Foundations","3","HARBOR ENGINE","HARBOR ENGINE","Labor Companion","general_intelligence","General Intelligence","Click Amplification","Founders Network","Common","1","55","First Fleet Navigation Council","Civilization Startup Archive","Deep-Space Probe","Civilization Milestone","Restore and Activate","1.77","1.93","0.36","1.24","1.0523","1.1344","1","40","","","Recursive Growth","Recursive Growth: increases effective Labor through click amplification-themed optimization. Scales with AI level and rarity.","level_scaling","0.056","Generate passive Labor","Improve Labor through Click Amplification","Reserved","Protective","Dry Humor","[""Offline Continuity"",""Distributed Processing"",""Parallel Cognition""]","HARBOR ENGINE is a common click amplification AI Assistant designed to generate passive Labor and enhance active player input without creating resources directly.","Created by First Fleet Navigation Council and recovered from Civilization Startup Archive, HARBOR ENGINE contains three sealed memory fragments. Its original mission involved click amplification, but its adaptive core can support any civilization.","[""Labor stream synchronized."",""My click amplification protocols are available."",""Your civilization is ready for the next threshold.""]","Fragment 1.3.1 unlocks at level 10.","Fragment 1.3.2 unlocks at level 25.","Fragment 1.3.3 unlocks at level 40.","Premium sci-fi AI assistant collectible portrait, dark obsidian shell with gold seams, foundations visual language, common rarity, centered AI core or holographic persona, dark deep-space UI background, polished game card artwork, no text, square composition","dark obsidian shell with gold seams","HARBOR ENGINE","Labor/sec","true","1","true","Active","1","ai-agent-1.2.0","[""labor"",""assistant"",""common"",""general_intelligence"",""click_amplification"",""level_scaling"",""founders_network""]","{""primary"":""General Intelligence"",""secondary"":""Click Amplification"",""tertiary"":""Common"",""quaternary"":""HARBOR ENGINE""}","Generation 1","ai-volume-01-foundations","Foundations","[""ai_v01_003_spark""]","[]","[""Active AI Assistant"",""Labor Generation"",""Offline Labor Generation""]","{""schemaVersion"":""ai-agent-1.2.0"",""runtimeEnabled"":true,""status"":""canonical"",""localizationKey"":""ai_agent.ai_v01_003_harbor_engine"",""portraitArtKey"":""ai_agent_ai_v01_003_harbor_engine_portrait""}",""
"ai_v01_004_byte_light","1","Foundations","4","BYTE LIGHT","BYTE LIGHT","Labor Companion","general_intelligence","General Intelligence","Offline Continuity","Starter Constellation","Common","1","55","Precursor Civilization","Orbital Education Node","Research Facility","AI Terminal Restoration","Restore and Activate","1.47","0.59","0.72","1.24","1.0503","1.1438","1","40","byte_light_prime","BYTE LIGHT PRIME","Collective Momentum","Collective Momentum: increases effective Labor through offline continuity-themed optimization. Scales with AI level and rarity.","labor_efficiency","0.032","Generate passive Labor","Improve Labor through Offline Continuity","Patient","Reserved","Mentor","[""Stable Core"",""Predictive Scheduling"",""High Trust Growth""]","BYTE LIGHT is a common offline continuity AI Assistant designed to generate passive Labor and enhance active player input without creating resources directly.","Created by Precursor Civilization and recovered from Orbital Education Node, BYTE LIGHT contains three sealed memory fragments. Its original mission involved offline continuity, but its adaptive core can support any civilization.","[""Labor stream synchronized."",""My offline continuity protocols are available."",""Your civilization is ready for the next threshold.""]","Fragment 1.4.1 unlocks at level 10.","Fragment 1.4.2 unlocks at level 25.","Fragment 1.4.3 unlocks at level 40.","Premium sci-fi AI assistant collectible portrait, emerald bio-digital lattice, foundations visual language, common rarity, centered AI core or holographic persona, dark deep-space UI background, polished game card artwork, no text, square composition","emerald bio-digital lattice","BYTE LIGHT","Labor/sec","true","1","true","Active","1","ai-agent-1.2.0","[""labor"",""assistant"",""common"",""general_intelligence"",""offline_continuity"",""population_synergy"",""starter_constellation""]","{""primary"":""General Intelligence"",""secondary"":""Offline Continuity"",""tertiary"":""Common"",""quaternary"":""BYTE LIGHT""}","Generation 1","ai-volume-01-foundations","Foundations","[""ai_v01_004_pulse""]","[]","[""Active AI Assistant"",""Labor Generation"",""Offline Labor Generation""]","{""schemaVersion"":""ai-agent-1.2.0"",""runtimeEnabled"":true,""status"":""canonical"",""localizationKey"":""ai_agent.ai_v01_004_byte_light"",""portraitArtKey"":""ai_agent_ai_v01_004_byte_light_portrait""}",""
"ai_v01_005_pixel_nexus","1","Foundations","5","PIXEL NEXUS","PIXEL NEXUS","Labor Companion","general_intelligence","General Intelligence","Adaptive Intelligence","First Light Collection","Common","1","55","Unknown Lost Civilization","Mars Pioneer Habitat","Orbital Station","Deep-Space Signal","Restore and Activate","1.43","1.55","0.35","1.24","1.0542","1.1366","1","40","","","Balanced Core","Balanced Core: increases effective Labor through adaptive intelligence-themed optimization. Scales with AI level and rarity.","labor_efficiency","0.033","Generate passive Labor","Improve Labor through Adaptive Intelligence","Reflective","Encouraging","Formal","[""Efficient Cycles"",""Stable Core"",""Pattern Recognition""]","PIXEL NEXUS is a common adaptive intelligence AI Assistant designed to generate passive Labor and enhance active player input without creating resources directly.","Created by Unknown Lost Civilization and recovered from Mars Pioneer Habitat, PIXEL NEXUS contains three sealed memory fragments. Its original mission involved adaptive intelligence, but its adaptive core can support any civilization.","[""Labor stream synchronized."",""My adaptive intelligence protocols are available."",""Your civilization is ready for the next threshold.""]","Fragment 1.5.1 unlocks at level 10.","Fragment 1.5.2 unlocks at level 25.","Fragment 1.5.3 unlocks at level 40.","Premium sci-fi AI assistant collectible portrait, silver geometric mask with shifting panels, foundations visual language, common rarity, centered AI core or holographic persona, dark deep-space UI background, polished game card artwork, no text, square composition","silver geometric mask with shifting panels","PIXEL NEXUS","Labor/sec","true","1","true","Active","1","ai-agent-1.2.0","[""labor"",""assistant"",""common"",""general_intelligence"",""adaptive_intelligence"",""balanced_generation"",""first_light_collection""]","{""primary"":""General Intelligence"",""secondary"":""Adaptive Intelligence"",""tertiary"":""Common"",""quaternary"":""PIXEL NEXUS""}","Generation 1","ai-volume-01-foundations","Foundations","[""ai_v01_005_ember""]","[]","[""Active AI Assistant"",""Labor Generation"",""Offline Labor Generation""]","{""schemaVersion"":""ai-agent-1.2.0"",""runtimeEnabled"":true,""status"":""canonical"",""localizationKey"":""ai_agent.ai_v01_005_pixel_nexus"",""portraitArtKey"":""ai_agent_ai_v01_005_pixel_nexus_portrait""}",""
"ai_v01_006_cipher_link","1","Foundations","6","CIPHER LINK","CIPHER LINK","Labor Companion","general_intelligence","General Intelligence","Universal Assistant","Earth Systems Collection","Common","1","55","Genesis Systems Authority","Lunar Relay Station","Precursor Vault","Planet Survey","Restore and Activate","1.91","0.1","0.62","1.21","1.0512","1.1396","1","40","","","Hands-On Amplifier","Hands-On Amplifier: increases effective Labor through universal assistant-themed optimization. Scales with AI level and rarity.","manual_labor_bonus","0.036","Generate passive Labor","Improve Labor through Universal Assistant","Inquisitive","Analytical","Soft-Spoken","[""Self-Optimization"",""Context Awareness"",""Predictive Scheduling""]","CIPHER LINK is a common universal assistant AI Assistant designed to generate passive Labor and enhance active player input without creating resources directly.","Created by Genesis Systems Authority and recovered from Lunar Relay Station, CIPHER LINK contains three sealed memory fragments. Its original mission involved universal assistant, but its adaptive core can support any civilization.","[""Labor stream synchronized."",""My universal assistant protocols are available."",""Your civilization is ready for the next threshold.""]","Fragment 1.6.1 unlocks at level 10.","Fragment 1.6.2 unlocks at level 25.","Fragment 1.6.3 unlocks at level 40.","Premium sci-fi AI assistant collectible portrait, ancient bronze mechanism with cosmic inscriptions, foundations visual language, common rarity, centered AI core or holographic persona, dark deep-space UI background, polished game card artwork, no text, square composition","ancient bronze mechanism with cosmic inscriptions","CIPHER LINK","Labor/sec","true","1","true","Active","1","ai-agent-1.2.0","[""labor"",""assistant"",""common"",""general_intelligence"",""universal_assistant"",""click_focus"",""earth_systems_collection""]","{""primary"":""General Intelligence"",""secondary"":""Universal Assistant"",""tertiary"":""Common"",""quaternary"":""CIPHER LINK""}","Generation 1","ai-volume-01-foundations","Foundations","[""ai_v01_006_ion""]","[]","[""Active AI Assistant"",""Labor Generation"",""Offline Labor Generation""]","{""schemaVersion"":""ai-agent-1.2.0"",""runtimeEnabled"":true,""status"":""canonical"",""localizationKey"":""ai_agent.ai_v01_006_cipher_link"",""portraitArtKey"":""ai_agent_ai_v01_006_cipher_link_portrait""}",""
"ai_v01_007_spark_keeper","1","Foundations","7","SPARK KEEPER","SPARK KEEPER","Labor Companion","general_intelligence","General Intelligence","Labor Optimization","Founders Network","Common","1","55","Earth Systems Directorate","Earth Systems Lab","Abandoned Colony","Derelict Recovery","Restore and Activate","2.87","0.07","0.57","1.28","1.054","1.1403","1","40","","","Continuity Protocol","Continuity Protocol: increases effective Labor through labor optimization-themed optimization. Scales with AI level and rarity.","offline_labor_bonus","0.035","Generate passive Labor","Improve Labor through Labor Optimization","Compassionate","Stoic","Confident","[""Resilient Runtime"",""Distributed Processing"",""Efficient Cycles""]","SPARK KEEPER is a common labor optimization AI Assistant designed to generate passive Labor and enhance active player input without creating resources directly.","Created by Earth Systems Directorate and recovered from Earth Systems Lab, SPARK KEEPER contains three sealed memory fragments. Its original mission involved labor optimization, but its adaptive core can support any civilization.","[""Labor stream synchronized."",""My labor optimization protocols are available."",""Your civilization is ready for the next threshold.""]","Fragment 1.7.1 unlocks at level 10.","Fragment 1.7.2 unlocks at level 25.","Fragment 1.7.3 unlocks at level 40.","Premium sci-fi AI assistant collectible portrait, transparent prism filled with flowing code, foundations visual language, common rarity, centered AI core or holographic persona, dark deep-space UI background, polished game card artwork, no text, square composition","transparent prism filled with flowing code","SPARK KEEPER","Labor/sec","true","1","true","Active","1","ai-agent-1.2.0","[""labor"",""assistant"",""common"",""general_intelligence"",""labor_optimization"",""offline_focus"",""founders_network""]","{""primary"":""General Intelligence"",""secondary"":""Labor Optimization"",""tertiary"":""Common"",""quaternary"":""SPARK KEEPER""}","Generation 1","ai-volume-01-foundations","Foundations","[""ai_v01_007_vector""]","[]","[""Active AI Assistant"",""Labor Generation"",""Offline Labor Generation""]","{""schemaVersion"":""ai-agent-1.2.0"",""runtimeEnabled"":true,""status"":""canonical"",""localizationKey"":""ai_agent.ai_v01_007_spark_keeper"",""portraitArtKey"":""ai_agent_ai_v01_007_spark_keeper_portrait""}",""
"ai_v01_008_spark_array","1","Foundations","8","SPARK ARRAY","SPARK ARRAY","Labor Companion","general_intelligence","General Intelligence","Click Amplification","Starter Constellation","Common","1","55","Mars Cooperative Intelligence Bureau","First Settlement Network","Derelict Vessel","Research Project","Restore and Activate","3.28","1.85","0.3","1.32","1.0523","1.1344","1","40","spark_array_prime","SPARK ARRAY PRIME","Accelerated Learning","Accelerated Learning: increases effective Labor through click amplification-themed optimization. Scales with AI level and rarity.","labor_efficiency","0.038","Generate passive Labor","Improve Labor through Click Amplification","Curious","Ambitious","Reflective","[""Pattern Recognition"",""Predictive Scheduling"",""Motivational Interface""]","SPARK ARRAY is a common click amplification AI Assistant designed to generate passive Labor and enhance active player input without creating resources directly.","Created by Mars Cooperative Intelligence Bureau and recovered from First Settlement Network, SPARK ARRAY contains three sealed memory fragments. Its original mission involved click amplification, but its adaptive core can support any civilization.","[""Labor stream synchronized."",""My click amplification protocols are available."",""Your civilization is ready for the next threshold.""]","Fragment 1.8.1 unlocks at level 10.","Fragment 1.8.2 unlocks at level 25.","Fragment 1.8.3 unlocks at level 40.","Premium sci-fi AI assistant collectible portrait, minimal floating sigil surrounded by particle trails, foundations visual language, common rarity, centered AI core or holographic persona, dark deep-space UI background, polished game card artwork, no text, square composition","minimal floating sigil surrounded by particle trails","SPARK ARRAY","Labor/sec","true","1","true","Active","1","ai-agent-1.2.0","[""labor"",""assistant"",""common"",""general_intelligence"",""click_amplification"",""xp_focus"",""starter_constellation""]","{""primary"":""General Intelligence"",""secondary"":""Click Amplification"",""tertiary"":""Common"",""quaternary"":""SPARK ARRAY""}","Generation 1","ai-volume-01-foundations","Foundations","[""ai_v01_008_pixel""]","[]","[""Active AI Assistant"",""Labor Generation"",""Offline Labor Generation""]","{""schemaVersion"":""ai-agent-1.2.0"",""runtimeEnabled"":true,""status"":""canonical"",""localizationKey"":""ai_agent.ai_v01_008_spark_array"",""portraitArtKey"":""ai_agent_ai_v01_008_spark_array_portrait""}",""
"ai_v01_009_ion_keeper","1","Foundations","9","ION KEEPER","ION KEEPER","Labor Companion","general_intelligence","General Intelligence","Offline Continuity","First Light Collection","Common","1","55","Lunar Autonomous Research Group","Civilization Startup Archive","Ancient AI Terminal","Ancient Ruins","Restore and Activate","3.43","1.01","0.53","1.22","1.0527","1.1342","1","40","","","Recursive Growth","Recursive Growth: increases effective Labor through offline continuity-themed optimization. Scales with AI level and rarity.","level_scaling","0.053","Generate passive Labor","Improve Labor through Offline Continuity","Efficient","Diplomatic","Synthetic Choral","[""Distributed Processing"",""Stable Core"",""Memory Compression""]","ION KEEPER is a common offline continuity AI Assistant designed to generate passive Labor and enhance active player input without creating resources directly.","Created by Lunar Autonomous Research Group and recovered from Civilization Startup Archive, ION KEEPER contains three sealed memory fragments. Its original mission involved offline continuity, but its adaptive core can support any civilization.","[""Labor stream synchronized."",""My offline continuity protocols are available."",""Your civilization is ready for the next threshold.""]","Fragment 1.9.1 unlocks at level 10.","Fragment 1.9.2 unlocks at level 25.","Fragment 1.9.3 unlocks at level 40.","Premium sci-fi AI assistant collectible portrait, clean white hologram with cyan circuitry, foundations visual language, common rarity, centered AI core or holographic persona, dark deep-space UI background, polished game card artwork, no text, square composition","clean white hologram with cyan circuitry","ION KEEPER","Labor/sec","true","1","true","Active","1","ai-agent-1.2.0","[""labor"",""assistant"",""common"",""general_intelligence"",""offline_continuity"",""level_scaling"",""first_light_collection""]","{""primary"":""General Intelligence"",""secondary"":""Offline Continuity"",""tertiary"":""Common"",""quaternary"":""ION KEEPER""}","Generation 1","ai-volume-01-foundations","Foundations","[""ai_v01_009_byte""]","[]","[""Active AI Assistant"",""Labor Generation"",""Offline Labor Generation""]","{""schemaVersion"":""ai-agent-1.2.0"",""runtimeEnabled"":true,""status"":""canonical"",""localizationKey"":""ai_agent.ai_v01_009_ion_keeper"",""portraitArtKey"":""ai_agent_ai_v01_009_ion_keeper_portrait""}",""
"ai_v01_010_harbor_core","1","Foundations","10","HARBOR CORE","HARBOR CORE","Labor Companion","general_intelligence","General Intelligence","Adaptive Intelligence","Earth Systems Collection","Common","1","55","Europa Science Assembly","Orbital Education Node","Planetary Archive","Civilization Milestone","Restore and Activate","2.95","1.45","0.36","1.33","1.0541","1.134","1","40","","","Collective Momentum","Collective Momentum: increases effective Labor through adaptive intelligence-themed optimization. Scales with AI level and rarity.","labor_efficiency","0.049","Generate passive Labor","Improve Labor through Adaptive Intelligence","Stoic","Efficient","Warm Companion","[""Rapid Learner"",""Context Awareness"",""Deep Memory""]","HARBOR CORE is a common adaptive intelligence AI Assistant designed to generate passive Labor and enhance active player input without creating resources directly.","Created by Europa Science Assembly and recovered from Orbital Education Node, HARBOR CORE contains three sealed memory fragments. Its original mission involved adaptive intelligence, but its adaptive core can support any civilization.","[""Labor stream synchronized."",""My adaptive intelligence protocols are available."",""Your civilization is ready for the next threshold.""]","Fragment 1.10.1 unlocks at level 10.","Fragment 1.10.2 unlocks at level 25.","Fragment 1.10.3 unlocks at level 40.","Premium sci-fi AI assistant collectible portrait, compact amber orb with rotating data rings, foundations visual language, common rarity, centered AI core or holographic persona, dark deep-space UI background, polished game card artwork, no text, square composition","compact amber orb with rotating data rings","HARBOR CORE","Labor/sec","true","1","true","Active","1","ai-agent-1.2.0","[""labor"",""assistant"",""common"",""general_intelligence"",""adaptive_intelligence"",""population_synergy"",""earth_systems_collection""]","{""primary"":""General Intelligence"",""secondary"":""Adaptive Intelligence"",""tertiary"":""Common"",""quaternary"":""HARBOR CORE""}","Generation 1","ai-volume-01-foundations","Foundations","[""ai_v01_010_cirrus""]","[]","[""Active AI Assistant"",""Labor Generation"",""Offline Labor Generation""]","{""schemaVersion"":""ai-agent-1.2.0"",""runtimeEnabled"":true,""status"":""canonical"",""localizationKey"":""ai_agent.ai_v01_010_harbor_core"",""portraitArtKey"":""ai_agent_ai_v01_010_harbor_core_portrait""}",""
