promptId,archetypeId,archetypeName,family,outputType,outputName,aspectRatio,positivePrompt,negativePrompt,version,status
NB2-TREE-TEMPERATE-WHOLE-TREE,TREE-TEMPERATE,Temperate Forest Tree,seasonal forest,whole-tree,Whole Tree Render,3:4,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Forest Tree: Whole Tree Render.

Archetype and habitat:
Temperate Forest Tree adapted to seasonal forest.

Required morphology:
hierarchical branching, layered canopy, structural roots, seasonal dormancy.

Production request:
show the complete mature tree including root flare, trunk, crown and reproductive structures.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{trunkType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, trunk support, vascular or equivalent transport, branch loading, canopy density, reproductive strategy, environmental adaptation and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent architecture across all views and life stages, soft neutral production lighting, pure black background for isolated references, full-subject visibility, generous negative space and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border or UI.

Avoid:
fantasy world tree, perfect symmetry.

Recommended aspect ratio: 3:4.","text, labels, watermark, logo, border, UI, HUD, cropped tree, cropped roots, cropped canopy, floating roots, floating branches, duplicate trunks, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, fantasy world tree, perfect symmetry",1.0.0,canonical
NB2-TREE-TEMPERATE-PORTRAIT,TREE-TEMPERATE,Temperate Forest Tree,seasonal forest,portrait,Botanical Portrait,1:1,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Forest Tree: Botanical Portrait.

Archetype and habitat:
Temperate Forest Tree adapted to seasonal forest.

Required morphology:
hierarchical branching, layered canopy, structural roots, seasonal dormancy.

Production request:
emphasize defining crown, trunk, bark and foliage while retaining species identity.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{trunkType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, trunk support, vascular or equivalent transport, branch loading, canopy density, reproductive strategy, environmental adaptation and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent architecture across all views and life stages, soft neutral production lighting, pure black background for isolated references, full-subject visibility, generous negative space and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border or UI.

Avoid:
fantasy world tree, perfect symmetry.

Recommended aspect ratio: 1:1.","text, labels, watermark, logo, border, UI, HUD, cropped tree, cropped roots, cropped canopy, floating roots, floating branches, duplicate trunks, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, fantasy world tree, perfect symmetry",1.0.0,canonical
NB2-TREE-TEMPERATE-ORTHO-FRONT,TREE-TEMPERATE,Temperate Forest Tree,seasonal forest,ortho-front,Orthographic Front,3:4,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Forest Tree: Orthographic Front.

Archetype and habitat:
Temperate Forest Tree adapted to seasonal forest.

Required morphology:
hierarchical branching, layered canopy, structural roots, seasonal dormancy.

Production request:
exact front orthographic view, no perspective distortion.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{trunkType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, trunk support, vascular or equivalent transport, branch loading, canopy density, reproductive strategy, environmental adaptation and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent architecture across all views and life stages, soft neutral production lighting, pure black background for isolated references, full-subject visibility, generous negative space and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border or UI.

Avoid:
fantasy world tree, perfect symmetry.

Recommended aspect ratio: 3:4.","text, labels, watermark, logo, border, UI, HUD, cropped tree, cropped roots, cropped canopy, floating roots, floating branches, duplicate trunks, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, fantasy world tree, perfect symmetry",1.0.0,canonical
NB2-TREE-TEMPERATE-ORTHO-SIDE,TREE-TEMPERATE,Temperate Forest Tree,seasonal forest,ortho-side,Orthographic Side,3:4,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Forest Tree: Orthographic Side.

Archetype and habitat:
Temperate Forest Tree adapted to seasonal forest.

Required morphology:
hierarchical branching, layered canopy, structural roots, seasonal dormancy.

Production request:
exact side orthographic view, no perspective distortion.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{trunkType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, trunk support, vascular or equivalent transport, branch loading, canopy density, reproductive strategy, environmental adaptation and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent architecture across all views and life stages, soft neutral production lighting, pure black background for isolated references, full-subject visibility, generous negative space and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border or UI.

Avoid:
fantasy world tree, perfect symmetry.

Recommended aspect ratio: 3:4.","text, labels, watermark, logo, border, UI, HUD, cropped tree, cropped roots, cropped canopy, floating roots, floating branches, duplicate trunks, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, fantasy world tree, perfect symmetry",1.0.0,canonical
NB2-TREE-TEMPERATE-ORTHO-REAR,TREE-TEMPERATE,Temperate Forest Tree,seasonal forest,ortho-rear,Orthographic Rear,3:4,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Forest Tree: Orthographic Rear.

Archetype and habitat:
Temperate Forest Tree adapted to seasonal forest.

Required morphology:
hierarchical branching, layered canopy, structural roots, seasonal dormancy.

Production request:
exact rear orthographic view, no perspective distortion.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{trunkType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, trunk support, vascular or equivalent transport, branch loading, canopy density, reproductive strategy, environmental adaptation and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent architecture across all views and life stages, soft neutral production lighting, pure black background for isolated references, full-subject visibility, generous negative space and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border or UI.

Avoid:
fantasy world tree, perfect symmetry.

Recommended aspect ratio: 3:4.","text, labels, watermark, logo, border, UI, HUD, cropped tree, cropped roots, cropped canopy, floating roots, floating branches, duplicate trunks, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, fantasy world tree, perfect symmetry",1.0.0,canonical
NB2-TREE-TEMPERATE-TOP-VIEW,TREE-TEMPERATE,Temperate Forest Tree,seasonal forest,top-view,Top Canopy View,1:1,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Forest Tree: Top Canopy View.

Archetype and habitat:
Temperate Forest Tree adapted to seasonal forest.

Required morphology:
hierarchical branching, layered canopy, structural roots, seasonal dormancy.

Production request:
top-down crown geometry and branch distribution.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{trunkType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, trunk support, vascular or equivalent transport, branch loading, canopy density, reproductive strategy, environmental adaptation and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent architecture across all views and life stages, soft neutral production lighting, pure black background for isolated references, full-subject visibility, generous negative space and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border or UI.

Avoid:
fantasy world tree, perfect symmetry.

Recommended aspect ratio: 1:1.","text, labels, watermark, logo, border, UI, HUD, cropped tree, cropped roots, cropped canopy, floating roots, floating branches, duplicate trunks, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, fantasy world tree, perfect symmetry",1.0.0,canonical
NB2-TREE-TEMPERATE-ROOTS,TREE-TEMPERATE,Temperate Forest Tree,seasonal forest,roots,Root System,16:9,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Forest Tree: Root System.

Archetype and habitat:
Temperate Forest Tree adapted to seasonal forest.

Required morphology:
hierarchical branching, layered canopy, structural roots, seasonal dormancy.

Production request:
complete roots or anchor interface showing support, storage and nutrient exchange.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{trunkType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, trunk support, vascular or equivalent transport, branch loading, canopy density, reproductive strategy, environmental adaptation and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent architecture across all views and life stages, soft neutral production lighting, pure black background for isolated references, full-subject visibility, generous negative space and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border or UI.

Avoid:
fantasy world tree, perfect symmetry.

Recommended aspect ratio: 16:9.","text, labels, watermark, logo, border, UI, HUD, cropped tree, cropped roots, cropped canopy, floating roots, floating branches, duplicate trunks, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, fantasy world tree, perfect symmetry",1.0.0,canonical
NB2-TREE-TEMPERATE-TRUNK,TREE-TEMPERATE,Temperate Forest Tree,seasonal forest,trunk,Trunk Study,16:9,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Forest Tree: Trunk Study.

Archetype and habitat:
Temperate Forest Tree adapted to seasonal forest.

Required morphology:
hierarchical branching, layered canopy, structural roots, seasonal dormancy.

Production request:
trunk taper, transport tissue, growth rings or analogs, damage repair and branch joints.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{trunkType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, trunk support, vascular or equivalent transport, branch loading, canopy density, reproductive strategy, environmental adaptation and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent architecture across all views and life stages, soft neutral production lighting, pure black background for isolated references, full-subject visibility, generous negative space and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border or UI.

Avoid:
fantasy world tree, perfect symmetry.

Recommended aspect ratio: 16:9.","text, labels, watermark, logo, border, UI, HUD, cropped tree, cropped roots, cropped canopy, floating roots, floating branches, duplicate trunks, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, fantasy world tree, perfect symmetry",1.0.0,canonical
NB2-TREE-TEMPERATE-BARK,TREE-TEMPERATE,Temperate Forest Tree,seasonal forest,bark,Bark Study,16:9,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Forest Tree: Bark Study.

Archetype and habitat:
Temperate Forest Tree adapted to seasonal forest.

Required morphology:
hierarchical branching, layered canopy, structural roots, seasonal dormancy.

Production request:
young, mature, damaged and repaired surface tissues in macro detail.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{trunkType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, trunk support, vascular or equivalent transport, branch loading, canopy density, reproductive strategy, environmental adaptation and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent architecture across all views and life stages, soft neutral production lighting, pure black background for isolated references, full-subject visibility, generous negative space and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border or UI.

Avoid:
fantasy world tree, perfect symmetry.

Recommended aspect ratio: 16:9.","text, labels, watermark, logo, border, UI, HUD, cropped tree, cropped roots, cropped canopy, floating roots, floating branches, duplicate trunks, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, fantasy world tree, perfect symmetry",1.0.0,canonical
NB2-TREE-TEMPERATE-BRANCHES,TREE-TEMPERATE,Temperate Forest Tree,seasonal forest,branches,Branch Architecture,16:9,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Forest Tree: Branch Architecture.

Archetype and habitat:
Temperate Forest Tree adapted to seasonal forest.

Required morphology:
hierarchical branching, layered canopy, structural roots, seasonal dormancy.

Production request:
primary, secondary and tertiary branch hierarchy and load distribution.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{trunkType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, trunk support, vascular or equivalent transport, branch loading, canopy density, reproductive strategy, environmental adaptation and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent architecture across all views and life stages, soft neutral production lighting, pure black background for isolated references, full-subject visibility, generous negative space and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border or UI.

Avoid:
fantasy world tree, perfect symmetry.

Recommended aspect ratio: 16:9.","text, labels, watermark, logo, border, UI, HUD, cropped tree, cropped roots, cropped canopy, floating roots, floating branches, duplicate trunks, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, fantasy world tree, perfect symmetry",1.0.0,canonical
