legacyResourceId,legacyResourceName,replacementResourceId,discoveryId,decision,compatibility
"RES-0108","Ancient Circuit","RES-0100","DISC-MIGRATED-0108","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0109","Relic Fragments","RES-0106","DISC-MIGRATED-0109","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0110","Temple Stone","RES-0001","DISC-MIGRATED-0110","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0111","Lost Archive","RES-0192","DISC-MIGRATED-0111","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0112","Ancient Memory Crystal","RES-0101","DISC-MIGRATED-0112","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0113","Machine Relic","RES-0099","DISC-MIGRATED-0113","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0114","Empire Seal","RES-0106","DISC-MIGRATED-0114","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0115","Harmony Tablet","RES-0101","DISC-MIGRATED-0115","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0116","Void Tablet","RES-0080","REL-0149","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0117","First Civilization Artifact","RES-0106","DISC-MIGRATED-0117","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0118","Ancient Reactor","RES-0102","DISC-MIGRATED-0118","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0119","Relic Core","RES-0102","DISC-MIGRATED-0119","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0120","Lost Star Map","RES-0193","DISC-MIGRATED-0120","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0121","Arcology Blueprint","RES-0092","DISC-MIGRATED-0121","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0122","City Core","RES-0092","DISC-MIGRATED-0122","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0123","War Core","RES-0093","DISC-MIGRATED-0123","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0124","Capital Core","RES-0092","DISC-MIGRATED-0124","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0125","Universal Knowledge Fragment","RES-0101","DISC-MIGRATED-0125","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-PROFILE-ABYSSAL-RELIC","Abyssal Relic","RES-0107","DISC-MIGRATED-PROFILE-ABYSSAL-RELIC","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-PROFILE-ANCIENT-AI-FRAGMENT","Ancient AI Fragment","RES-0100","DISC-MIGRATED-PROFILE-ANCIENT-AI-FRAGMENT","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-PROFILE-ANCIENT-BONE","Ancient Bone","RES-0060","DISC-MIGRATED-PROFILE-ANCIENT-BONE","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-PROFILE-ANCIENT-FOSSILS","Ancient Fossils","RES-0060","DISC-MIGRATED-PROFILE-ANCIENT-FOSSILS","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-PROFILE-BATTLE-RELICS","Battle Relics","RES-0106","DISC-MIGRATED-PROFILE-BATTLE-RELICS","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-PROFILE-COLLECTIVE-MIND-FRAGMENT","Collective Mind Fragment","RES-0103","DISC-MIGRATED-PROFILE-COLLECTIVE-MIND-FRAGMENT","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-PROFILE-FOSSILS","Fossils","RES-0060","DISC-MIGRATED-PROFILE-FOSSILS","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-PROFILE-HARMONY-FRAGMENT","Harmony Fragment","RES-0101","DISC-MIGRATED-PROFILE-HARMONY-FRAGMENT","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0159","Ancient Core","RES-0106","DISC-MIGRATED-0159","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-PROFILE-UNIVERSAL-ANOMALY","Universal Anomaly","RES-0127","DISC-MIGRATED-PROFILE-UNIVERSAL-ANOMALY","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0174","Genesis Heart","RES-0173","DISC-MIGRATED-0174","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
"RES-0176","Genesis Memory","RES-0173","DISC-MIGRATED-0176","MOVE_TO_DISCOVERY","Legacy resource ID remains deprecated and resolves to replacement resource"
