promptId,archetypeId,archetypeName,family,outputType,outputName,aspectRatio,cameraProfileId,lightingProfileId,positivePrompt,negativePrompt,version,status
NB2-AVI-APEX-RAPTOR-FULL-BODY,AVI-APEX-RAPTOR,Apex Raptor,predator,full-body,Full Body Production Render,3:4,CAM-THREE-QUARTER,LIGHT-STUDIO-NEUTRAL,"Create a canonical NOVERIS Nano Banana 2 visual for Apex Raptor: Full Body Production Render.

Canonical archetype:
A dominant aerial predator with powerful flight musculature, exceptional visual tracking, functional capture anatomy, and wing loading appropriate to its mass and atmosphere.

Required traits:
• credible wing loading
• powerful chest musculature
• forward sensory emphasis
• functional capture feet or equivalent
• stable tail control

Production request:
Create one complete mature specimen in a neutral natural pose, shown in a three-quarter view with the entire wingspan or folded-wing silhouette fully visible.

Resolve and preserve these Studio values:
{{speciesName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{airDensity}}, {{windProfile}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{diet}}, {{behavior}}, {{bodyPlan}}, {{wingType}}, {{wingSpan}}, {{wingCount}}, {{featherOrMembraneType}}, {{surfaceCovering}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible flight, gliding, buoyancy, or field-based locomotion. Wing loading, body mass, center of gravity, support structure, flight muscles, takeoff, landing, and control surfaces must agree with gravity, atmosphere, air density, wind, biome, diet, and behavior. Preserve locked canon exactly. Use restrained coloration, coherent materials, a readable silhouette, consistent anatomy, soft neutral production lighting, pure black background for isolated references, full subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
• eagle clone
• angel wings
• dragon traits

Recommended aspect ratio: 3:4.","text, labels, watermark, logo, border, UI, HUD, cropped subject, cropped wings, duplicate wings, extra wings, duplicate legs, duplicate heads, malformed joints, contradictory anatomy, impossible wing loading, incorrect center of mass, random horns, fantasy armor, weapons, clothing, saddle, angel wings, dragon wings, humanoid default, cartoon, anime, toy-like materials, plastic feathers, excessive neon, oversaturation, busy background, unrelated props, floating body parts, motion blur, low resolution, compression artifacts, eagle clone, angel wings, dragon traits",1.0.0,canonical
NB2-AVI-APEX-RAPTOR-PORTRAIT,AVI-APEX-RAPTOR,Apex Raptor,predator,portrait,Portrait,1:1,CAM-PORTRAIT,LIGHT-STUDIO-NEUTRAL,"Create a canonical NOVERIS Nano Banana 2 visual for Apex Raptor: Portrait.

Canonical archetype:
A dominant aerial predator with powerful flight musculature, exceptional visual tracking, functional capture anatomy, and wing loading appropriate to its mass and atmosphere.

Required traits:
• credible wing loading
• powerful chest musculature
• forward sensory emphasis
• functional capture feet or equivalent
• stable tail control

Production request:
Create a museum-quality head and upper-body portrait emphasizing sensory organs, feeding anatomy, feather or membrane detail, and natural expression.

Resolve and preserve these Studio values:
{{speciesName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{airDensity}}, {{windProfile}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{diet}}, {{behavior}}, {{bodyPlan}}, {{wingType}}, {{wingSpan}}, {{wingCount}}, {{featherOrMembraneType}}, {{surfaceCovering}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible flight, gliding, buoyancy, or field-based locomotion. Wing loading, body mass, center of gravity, support structure, flight muscles, takeoff, landing, and control surfaces must agree with gravity, atmosphere, air density, wind, biome, diet, and behavior. Preserve locked canon exactly. Use restrained coloration, coherent materials, a readable silhouette, consistent anatomy, soft neutral production lighting, pure black background for isolated references, full subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
• eagle clone
• angel wings
• dragon traits

Recommended aspect ratio: 1:1.","text, labels, watermark, logo, border, UI, HUD, cropped subject, cropped wings, duplicate wings, extra wings, duplicate legs, duplicate heads, malformed joints, contradictory anatomy, impossible wing loading, incorrect center of mass, random horns, fantasy armor, weapons, clothing, saddle, angel wings, dragon wings, humanoid default, cartoon, anime, toy-like materials, plastic feathers, excessive neon, oversaturation, busy background, unrelated props, floating body parts, motion blur, low resolution, compression artifacts, eagle clone, angel wings, dragon traits",1.0.0,canonical
NB2-AVI-APEX-RAPTOR-ORTHOGRAPHIC-FRONT,AVI-APEX-RAPTOR,Apex Raptor,predator,orthographic-front,Orthographic Front,3:4,CAM-ORTHO,LIGHT-MUSEUM,"Create a canonical NOVERIS Nano Banana 2 visual for Apex Raptor: Orthographic Front.

Canonical archetype:
A dominant aerial predator with powerful flight musculature, exceptional visual tracking, functional capture anatomy, and wing loading appropriate to its mass and atmosphere.

Required traits:
• credible wing loading
• powerful chest musculature
• forward sensory emphasis
• functional capture feet or equivalent
• stable tail control

Production request:
Create an exact front orthographic view with symmetrical alignment and no perspective distortion.

Resolve and preserve these Studio values:
{{speciesName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{airDensity}}, {{windProfile}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{diet}}, {{behavior}}, {{bodyPlan}}, {{wingType}}, {{wingSpan}}, {{wingCount}}, {{featherOrMembraneType}}, {{surfaceCovering}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible flight, gliding, buoyancy, or field-based locomotion. Wing loading, body mass, center of gravity, support structure, flight muscles, takeoff, landing, and control surfaces must agree with gravity, atmosphere, air density, wind, biome, diet, and behavior. Preserve locked canon exactly. Use restrained coloration, coherent materials, a readable silhouette, consistent anatomy, soft neutral production lighting, pure black background for isolated references, full subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
• eagle clone
• angel wings
• dragon traits

Recommended aspect ratio: 3:4.","text, labels, watermark, logo, border, UI, HUD, cropped subject, cropped wings, duplicate wings, extra wings, duplicate legs, duplicate heads, malformed joints, contradictory anatomy, impossible wing loading, incorrect center of mass, random horns, fantasy armor, weapons, clothing, saddle, angel wings, dragon wings, humanoid default, cartoon, anime, toy-like materials, plastic feathers, excessive neon, oversaturation, busy background, unrelated props, floating body parts, motion blur, low resolution, compression artifacts, eagle clone, angel wings, dragon traits",1.0.0,canonical
NB2-AVI-APEX-RAPTOR-ORTHOGRAPHIC-SIDE,AVI-APEX-RAPTOR,Apex Raptor,predator,orthographic-side,Orthographic Side,3:4,CAM-ORTHO,LIGHT-MUSEUM,"Create a canonical NOVERIS Nano Banana 2 visual for Apex Raptor: Orthographic Side.

Canonical archetype:
A dominant aerial predator with powerful flight musculature, exceptional visual tracking, functional capture anatomy, and wing loading appropriate to its mass and atmosphere.

Required traits:
• credible wing loading
• powerful chest musculature
• forward sensory emphasis
• functional capture feet or equivalent
• stable tail control

Production request:
Create an exact left-side orthographic view in a neutral stance or stable flight posture with no perspective distortion.

Resolve and preserve these Studio values:
{{speciesName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{airDensity}}, {{windProfile}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{diet}}, {{behavior}}, {{bodyPlan}}, {{wingType}}, {{wingSpan}}, {{wingCount}}, {{featherOrMembraneType}}, {{surfaceCovering}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible flight, gliding, buoyancy, or field-based locomotion. Wing loading, body mass, center of gravity, support structure, flight muscles, takeoff, landing, and control surfaces must agree with gravity, atmosphere, air density, wind, biome, diet, and behavior. Preserve locked canon exactly. Use restrained coloration, coherent materials, a readable silhouette, consistent anatomy, soft neutral production lighting, pure black background for isolated references, full subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
• eagle clone
• angel wings
• dragon traits

Recommended aspect ratio: 3:4.","text, labels, watermark, logo, border, UI, HUD, cropped subject, cropped wings, duplicate wings, extra wings, duplicate legs, duplicate heads, malformed joints, contradictory anatomy, impossible wing loading, incorrect center of mass, random horns, fantasy armor, weapons, clothing, saddle, angel wings, dragon wings, humanoid default, cartoon, anime, toy-like materials, plastic feathers, excessive neon, oversaturation, busy background, unrelated props, floating body parts, motion blur, low resolution, compression artifacts, eagle clone, angel wings, dragon traits",1.0.0,canonical
NB2-AVI-APEX-RAPTOR-ORTHOGRAPHIC-REAR,AVI-APEX-RAPTOR,Apex Raptor,predator,orthographic-rear,Orthographic Rear,3:4,CAM-ORTHO,LIGHT-MUSEUM,"Create a canonical NOVERIS Nano Banana 2 visual for Apex Raptor: Orthographic Rear.

Canonical archetype:
A dominant aerial predator with powerful flight musculature, exceptional visual tracking, functional capture anatomy, and wing loading appropriate to its mass and atmosphere.

Required traits:
• credible wing loading
• powerful chest musculature
• forward sensory emphasis
• functional capture feet or equivalent
• stable tail control

Production request:
Create an exact rear orthographic view showing tail, wing roots, and leg placement with no perspective distortion.

Resolve and preserve these Studio values:
{{speciesName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{airDensity}}, {{windProfile}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{diet}}, {{behavior}}, {{bodyPlan}}, {{wingType}}, {{wingSpan}}, {{wingCount}}, {{featherOrMembraneType}}, {{surfaceCovering}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible flight, gliding, buoyancy, or field-based locomotion. Wing loading, body mass, center of gravity, support structure, flight muscles, takeoff, landing, and control surfaces must agree with gravity, atmosphere, air density, wind, biome, diet, and behavior. Preserve locked canon exactly. Use restrained coloration, coherent materials, a readable silhouette, consistent anatomy, soft neutral production lighting, pure black background for isolated references, full subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
• eagle clone
• angel wings
• dragon traits

Recommended aspect ratio: 3:4.","text, labels, watermark, logo, border, UI, HUD, cropped subject, cropped wings, duplicate wings, extra wings, duplicate legs, duplicate heads, malformed joints, contradictory anatomy, impossible wing loading, incorrect center of mass, random horns, fantasy armor, weapons, clothing, saddle, angel wings, dragon wings, humanoid default, cartoon, anime, toy-like materials, plastic feathers, excessive neon, oversaturation, busy background, unrelated props, floating body parts, motion blur, low resolution, compression artifacts, eagle clone, angel wings, dragon traits",1.0.0,canonical
NB2-AVI-APEX-RAPTOR-TURNAROUND,AVI-APEX-RAPTOR,Apex Raptor,predator,turnaround,Turnaround Sheet,16:9,CAM-REFERENCE,LIGHT-MUSEUM,"Create a canonical NOVERIS Nano Banana 2 visual for Apex Raptor: Turnaround Sheet.

Canonical archetype:
A dominant aerial predator with powerful flight musculature, exceptional visual tracking, functional capture anatomy, and wing loading appropriate to its mass and atmosphere.

Required traits:
• credible wing loading
• powerful chest musculature
• forward sensory emphasis
• functional capture feet or equivalent
• stable tail control

Production request:
Create front, left, rear, right, top, and underside views at identical scale and consistent anatomy. No labels.

Resolve and preserve these Studio values:
{{speciesName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{airDensity}}, {{windProfile}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{diet}}, {{behavior}}, {{bodyPlan}}, {{wingType}}, {{wingSpan}}, {{wingCount}}, {{featherOrMembraneType}}, {{surfaceCovering}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible flight, gliding, buoyancy, or field-based locomotion. Wing loading, body mass, center of gravity, support structure, flight muscles, takeoff, landing, and control surfaces must agree with gravity, atmosphere, air density, wind, biome, diet, and behavior. Preserve locked canon exactly. Use restrained coloration, coherent materials, a readable silhouette, consistent anatomy, soft neutral production lighting, pure black background for isolated references, full subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
• eagle clone
• angel wings
• dragon traits

Recommended aspect ratio: 16:9.","text, labels, watermark, logo, border, UI, HUD, cropped subject, cropped wings, duplicate wings, extra wings, duplicate legs, duplicate heads, malformed joints, contradictory anatomy, impossible wing loading, incorrect center of mass, random horns, fantasy armor, weapons, clothing, saddle, angel wings, dragon wings, humanoid default, cartoon, anime, toy-like materials, plastic feathers, excessive neon, oversaturation, busy background, unrelated props, floating body parts, motion blur, low resolution, compression artifacts, eagle clone, angel wings, dragon traits",1.0.0,canonical
NB2-AVI-APEX-RAPTOR-WING-STUDY,AVI-APEX-RAPTOR,Apex Raptor,predator,wing-study,Wing Study,16:9,CAM-WING-STUDY,LIGHT-MUSEUM,"Create a canonical NOVERIS Nano Banana 2 visual for Apex Raptor: Wing Study.

Canonical archetype:
A dominant aerial predator with powerful flight musculature, exceptional visual tracking, functional capture anatomy, and wing loading appropriate to its mass and atmosphere.

Required traits:
• credible wing loading
• powerful chest musculature
• forward sensory emphasis
• functional capture feet or equivalent
• stable tail control

Production request:
Show fully spread wings, folded wings, upper and lower surfaces, joint structure, and primary control surfaces.

Resolve and preserve these Studio values:
{{speciesName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{airDensity}}, {{windProfile}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{diet}}, {{behavior}}, {{bodyPlan}}, {{wingType}}, {{wingSpan}}, {{wingCount}}, {{featherOrMembraneType}}, {{surfaceCovering}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible flight, gliding, buoyancy, or field-based locomotion. Wing loading, body mass, center of gravity, support structure, flight muscles, takeoff, landing, and control surfaces must agree with gravity, atmosphere, air density, wind, biome, diet, and behavior. Preserve locked canon exactly. Use restrained coloration, coherent materials, a readable silhouette, consistent anatomy, soft neutral production lighting, pure black background for isolated references, full subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
• eagle clone
• angel wings
• dragon traits

Recommended aspect ratio: 16:9.","text, labels, watermark, logo, border, UI, HUD, cropped subject, cropped wings, duplicate wings, extra wings, duplicate legs, duplicate heads, malformed joints, contradictory anatomy, impossible wing loading, incorrect center of mass, random horns, fantasy armor, weapons, clothing, saddle, angel wings, dragon wings, humanoid default, cartoon, anime, toy-like materials, plastic feathers, excessive neon, oversaturation, busy background, unrelated props, floating body parts, motion blur, low resolution, compression artifacts, eagle clone, angel wings, dragon traits",1.0.0,canonical
NB2-AVI-APEX-RAPTOR-SKELETON,AVI-APEX-RAPTOR,Apex Raptor,predator,skeleton,Skeleton Reference,16:9,CAM-REFERENCE,LIGHT-MUSEUM,"Create a canonical NOVERIS Nano Banana 2 visual for Apex Raptor: Skeleton Reference.

Canonical archetype:
A dominant aerial predator with powerful flight musculature, exceptional visual tracking, functional capture anatomy, and wing loading appropriate to its mass and atmosphere.

Required traits:
• credible wing loading
• powerful chest musculature
• forward sensory emphasis
• functional capture feet or equivalent
• stable tail control

Production request:
Show the complete support system with wing joints, flight-muscle attachments, tail support, and landing anatomy. No labels.

Resolve and preserve these Studio values:
{{speciesName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{airDensity}}, {{windProfile}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{diet}}, {{behavior}}, {{bodyPlan}}, {{wingType}}, {{wingSpan}}, {{wingCount}}, {{featherOrMembraneType}}, {{surfaceCovering}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible flight, gliding, buoyancy, or field-based locomotion. Wing loading, body mass, center of gravity, support structure, flight muscles, takeoff, landing, and control surfaces must agree with gravity, atmosphere, air density, wind, biome, diet, and behavior. Preserve locked canon exactly. Use restrained coloration, coherent materials, a readable silhouette, consistent anatomy, soft neutral production lighting, pure black background for isolated references, full subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
• eagle clone
• angel wings
• dragon traits

Recommended aspect ratio: 16:9.","text, labels, watermark, logo, border, UI, HUD, cropped subject, cropped wings, duplicate wings, extra wings, duplicate legs, duplicate heads, malformed joints, contradictory anatomy, impossible wing loading, incorrect center of mass, random horns, fantasy armor, weapons, clothing, saddle, angel wings, dragon wings, humanoid default, cartoon, anime, toy-like materials, plastic feathers, excessive neon, oversaturation, busy background, unrelated props, floating body parts, motion blur, low resolution, compression artifacts, eagle clone, angel wings, dragon traits",1.0.0,canonical
NB2-AVI-APEX-RAPTOR-MUSCULATURE,AVI-APEX-RAPTOR,Apex Raptor,predator,musculature,Flight Musculature,16:9,CAM-REFERENCE,LIGHT-MUSEUM,"Create a canonical NOVERIS Nano Banana 2 visual for Apex Raptor: Flight Musculature.

Canonical archetype:
A dominant aerial predator with powerful flight musculature, exceptional visual tracking, functional capture anatomy, and wing loading appropriate to its mass and atmosphere.

Required traits:
• credible wing loading
• powerful chest musculature
• forward sensory emphasis
• functional capture feet or equivalent
• stable tail control

Production request:
Show primary flight muscles, secondary control muscles, neck, leg, and tail muscle systems. No labels.

Resolve and preserve these Studio values:
{{speciesName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{airDensity}}, {{windProfile}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{diet}}, {{behavior}}, {{bodyPlan}}, {{wingType}}, {{wingSpan}}, {{wingCount}}, {{featherOrMembraneType}}, {{surfaceCovering}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible flight, gliding, buoyancy, or field-based locomotion. Wing loading, body mass, center of gravity, support structure, flight muscles, takeoff, landing, and control surfaces must agree with gravity, atmosphere, air density, wind, biome, diet, and behavior. Preserve locked canon exactly. Use restrained coloration, coherent materials, a readable silhouette, consistent anatomy, soft neutral production lighting, pure black background for isolated references, full subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
• eagle clone
• angel wings
• dragon traits

Recommended aspect ratio: 16:9.","text, labels, watermark, logo, border, UI, HUD, cropped subject, cropped wings, duplicate wings, extra wings, duplicate legs, duplicate heads, malformed joints, contradictory anatomy, impossible wing loading, incorrect center of mass, random horns, fantasy armor, weapons, clothing, saddle, angel wings, dragon wings, humanoid default, cartoon, anime, toy-like materials, plastic feathers, excessive neon, oversaturation, busy background, unrelated props, floating body parts, motion blur, low resolution, compression artifacts, eagle clone, angel wings, dragon traits",1.0.0,canonical
NB2-AVI-APEX-RAPTOR-ANATOMY,AVI-APEX-RAPTOR,Apex Raptor,predator,anatomy,Internal Anatomy,16:9,CAM-REFERENCE,LIGHT-MUSEUM,"Create a canonical NOVERIS Nano Banana 2 visual for Apex Raptor: Internal Anatomy.

Canonical archetype:
A dominant aerial predator with powerful flight musculature, exceptional visual tracking, functional capture anatomy, and wing loading appropriate to its mass and atmosphere.

Required traits:
• credible wing loading
• powerful chest musculature
• forward sensory emphasis
• functional capture feet or equivalent
• stable tail control

Production request:
Show respiration, circulation, digestion, sensory systems, reproduction, and flight-specific anatomy in a restrained cutaway. No labels.

Resolve and preserve these Studio values:
{{speciesName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{airDensity}}, {{windProfile}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{diet}}, {{behavior}}, {{bodyPlan}}, {{wingType}}, {{wingSpan}}, {{wingCount}}, {{featherOrMembraneType}}, {{surfaceCovering}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible flight, gliding, buoyancy, or field-based locomotion. Wing loading, body mass, center of gravity, support structure, flight muscles, takeoff, landing, and control surfaces must agree with gravity, atmosphere, air density, wind, biome, diet, and behavior. Preserve locked canon exactly. Use restrained coloration, coherent materials, a readable silhouette, consistent anatomy, soft neutral production lighting, pure black background for isolated references, full subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
• eagle clone
• angel wings
• dragon traits

Recommended aspect ratio: 16:9.","text, labels, watermark, logo, border, UI, HUD, cropped subject, cropped wings, duplicate wings, extra wings, duplicate legs, duplicate heads, malformed joints, contradictory anatomy, impossible wing loading, incorrect center of mass, random horns, fantasy armor, weapons, clothing, saddle, angel wings, dragon wings, humanoid default, cartoon, anime, toy-like materials, plastic feathers, excessive neon, oversaturation, busy background, unrelated props, floating body parts, motion blur, low resolution, compression artifacts, eagle clone, angel wings, dragon traits",1.0.0,canonical
