promptId,archetypeId,archetypeName,family,outputType,outputName,aspectRatio,positivePrompt,negativePrompt,version,status
NB2-SHRUB-TEMPERATE-WHOLE-PLANT,SHRUB-TEMPERATE,Temperate Shrub,temperate,whole-plant,Whole Plant Render,3:4,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Shrub: Whole Plant Render.

Canonical archetype:
A multi-stemmed woody plant adapted to seasonal temperate climates, layered understory light, periodic cold, and variable moisture.

Required botanical traits:
• multiple basal stems
• dense but readable branching
• seasonal foliage
• understory adaptation

Production request:
show one complete mature specimen with roots or root flare, all stems, foliage, and reproductive structures.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{stemType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, runners, stems, branch loading, foliage density, reproduction, environmental adaptation, and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome, and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent morphology across all views and life stages, soft neutral production lighting, pure black background for isolated references, complete subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
miniature tree clone, perfect ball shape, ornamental topiary.

Recommended aspect ratio: 3:4.","text, labels, watermark, logo, border, UI, HUD, cropped plant, cropped roots, floating roots, floating stems, duplicate stems, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, miniature tree clone, perfect ball shape, ornamental topiary",1.0.0,canonical
NB2-SHRUB-TEMPERATE-PORTRAIT,SHRUB-TEMPERATE,Temperate Shrub,temperate,portrait,Botanical Portrait,1:1,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Shrub: Botanical Portrait.

Canonical archetype:
A multi-stemmed woody plant adapted to seasonal temperate climates, layered understory light, periodic cold, and variable moisture.

Required botanical traits:
• multiple basal stems
• dense but readable branching
• seasonal foliage
• understory adaptation

Production request:
emphasize defining branching, foliage, flowers, fruit, or surface materials.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{stemType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, runners, stems, branch loading, foliage density, reproduction, environmental adaptation, and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome, and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent morphology across all views and life stages, soft neutral production lighting, pure black background for isolated references, complete subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
miniature tree clone, perfect ball shape, ornamental topiary.

Recommended aspect ratio: 1:1.","text, labels, watermark, logo, border, UI, HUD, cropped plant, cropped roots, floating roots, floating stems, duplicate stems, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, miniature tree clone, perfect ball shape, ornamental topiary",1.0.0,canonical
NB2-SHRUB-TEMPERATE-ORTHO-FRONT,SHRUB-TEMPERATE,Temperate Shrub,temperate,ortho-front,Orthographic Front,3:4,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Shrub: Orthographic Front.

Canonical archetype:
A multi-stemmed woody plant adapted to seasonal temperate climates, layered understory light, periodic cold, and variable moisture.

Required botanical traits:
• multiple basal stems
• dense but readable branching
• seasonal foliage
• understory adaptation

Production request:
exact front orthographic view with no perspective distortion.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{stemType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, runners, stems, branch loading, foliage density, reproduction, environmental adaptation, and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome, and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent morphology across all views and life stages, soft neutral production lighting, pure black background for isolated references, complete subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
miniature tree clone, perfect ball shape, ornamental topiary.

Recommended aspect ratio: 3:4.","text, labels, watermark, logo, border, UI, HUD, cropped plant, cropped roots, floating roots, floating stems, duplicate stems, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, miniature tree clone, perfect ball shape, ornamental topiary",1.0.0,canonical
NB2-SHRUB-TEMPERATE-ORTHO-SIDE,SHRUB-TEMPERATE,Temperate Shrub,temperate,ortho-side,Orthographic Side,3:4,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Shrub: Orthographic Side.

Canonical archetype:
A multi-stemmed woody plant adapted to seasonal temperate climates, layered understory light, periodic cold, and variable moisture.

Required botanical traits:
• multiple basal stems
• dense but readable branching
• seasonal foliage
• understory adaptation

Production request:
exact side orthographic view with no perspective distortion.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{stemType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, runners, stems, branch loading, foliage density, reproduction, environmental adaptation, and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome, and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent morphology across all views and life stages, soft neutral production lighting, pure black background for isolated references, complete subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
miniature tree clone, perfect ball shape, ornamental topiary.

Recommended aspect ratio: 3:4.","text, labels, watermark, logo, border, UI, HUD, cropped plant, cropped roots, floating roots, floating stems, duplicate stems, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, miniature tree clone, perfect ball shape, ornamental topiary",1.0.0,canonical
NB2-SHRUB-TEMPERATE-ORTHO-TOP,SHRUB-TEMPERATE,Temperate Shrub,temperate,ortho-top,Orthographic Top,1:1,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Shrub: Orthographic Top.

Canonical archetype:
A multi-stemmed woody plant adapted to seasonal temperate climates, layered understory light, periodic cold, and variable moisture.

Required botanical traits:
• multiple basal stems
• dense but readable branching
• seasonal foliage
• understory adaptation

Production request:
exact top-down view showing spread pattern and canopy density.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{stemType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, runners, stems, branch loading, foliage density, reproduction, environmental adaptation, and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome, and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent morphology across all views and life stages, soft neutral production lighting, pure black background for isolated references, complete subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
miniature tree clone, perfect ball shape, ornamental topiary.

Recommended aspect ratio: 1:1.","text, labels, watermark, logo, border, UI, HUD, cropped plant, cropped roots, floating roots, floating stems, duplicate stems, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, miniature tree clone, perfect ball shape, ornamental topiary",1.0.0,canonical
NB2-SHRUB-TEMPERATE-ROOTS,SHRUB-TEMPERATE,Temperate Shrub,temperate,roots,Root System,16:9,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Shrub: Root System.

Canonical archetype:
A multi-stemmed woody plant adapted to seasonal temperate climates, layered understory light, periodic cold, and variable moisture.

Required botanical traits:
• multiple basal stems
• dense but readable branching
• seasonal foliage
• understory adaptation

Production request:
show complete roots, rhizomes, runners, holdfasts, or anchor structures.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{stemType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, runners, stems, branch loading, foliage density, reproduction, environmental adaptation, and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome, and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent morphology across all views and life stages, soft neutral production lighting, pure black background for isolated references, complete subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
miniature tree clone, perfect ball shape, ornamental topiary.

Recommended aspect ratio: 16:9.","text, labels, watermark, logo, border, UI, HUD, cropped plant, cropped roots, floating roots, floating stems, duplicate stems, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, miniature tree clone, perfect ball shape, ornamental topiary",1.0.0,canonical
NB2-SHRUB-TEMPERATE-STEMS,SHRUB-TEMPERATE,Temperate Shrub,temperate,stems,Stem and Branch Study,16:9,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Shrub: Stem and Branch Study.

Canonical archetype:
A multi-stemmed woody plant adapted to seasonal temperate climates, layered understory light, periodic cold, and variable moisture.

Required botanical traits:
• multiple basal stems
• dense but readable branching
• seasonal foliage
• understory adaptation

Production request:
show basal stems, branch hierarchy, joints, growth points, and load distribution.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{stemType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, runners, stems, branch loading, foliage density, reproduction, environmental adaptation, and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome, and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent morphology across all views and life stages, soft neutral production lighting, pure black background for isolated references, complete subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
miniature tree clone, perfect ball shape, ornamental topiary.

Recommended aspect ratio: 16:9.","text, labels, watermark, logo, border, UI, HUD, cropped plant, cropped roots, floating roots, floating stems, duplicate stems, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, miniature tree clone, perfect ball shape, ornamental topiary",1.0.0,canonical
NB2-SHRUB-TEMPERATE-SURFACE,SHRUB-TEMPERATE,Temperate Shrub,temperate,surface,Bark and Surface Study,16:9,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Shrub: Bark and Surface Study.

Canonical archetype:
A multi-stemmed woody plant adapted to seasonal temperate climates, layered understory light, periodic cold, and variable moisture.

Required botanical traits:
• multiple basal stems
• dense but readable branching
• seasonal foliage
• understory adaptation

Production request:
show young, mature, damaged, repaired, waxy, mineral, synthetic, or field surfaces.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{stemType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, runners, stems, branch loading, foliage density, reproduction, environmental adaptation, and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome, and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent morphology across all views and life stages, soft neutral production lighting, pure black background for isolated references, complete subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
miniature tree clone, perfect ball shape, ornamental topiary.

Recommended aspect ratio: 16:9.","text, labels, watermark, logo, border, UI, HUD, cropped plant, cropped roots, floating roots, floating stems, duplicate stems, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, miniature tree clone, perfect ball shape, ornamental topiary",1.0.0,canonical
NB2-SHRUB-TEMPERATE-LEAVES,SHRUB-TEMPERATE,Temperate Shrub,temperate,leaves,Leaf or Collector Study,16:9,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Shrub: Leaf or Collector Study.

Canonical archetype:
A multi-stemmed woody plant adapted to seasonal temperate climates, layered understory light, periodic cold, and variable moisture.

Required botanical traits:
• multiple basal stems
• dense but readable branching
• seasonal foliage
• understory adaptation

Production request:
show front, back, edge, juvenile, mature, seasonal, and damaged states.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{stemType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, runners, stems, branch loading, foliage density, reproduction, environmental adaptation, and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome, and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent morphology across all views and life stages, soft neutral production lighting, pure black background for isolated references, complete subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
miniature tree clone, perfect ball shape, ornamental topiary.

Recommended aspect ratio: 16:9.","text, labels, watermark, logo, border, UI, HUD, cropped plant, cropped roots, floating roots, floating stems, duplicate stems, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, miniature tree clone, perfect ball shape, ornamental topiary",1.0.0,canonical
NB2-SHRUB-TEMPERATE-FLOWERS,SHRUB-TEMPERATE,Temperate Shrub,temperate,flowers,Reproductive Structure,16:9,"Create a canonical NOVERIS Nano Banana 2 visual for Temperate Shrub: Reproductive Structure.

Canonical archetype:
A multi-stemmed woody plant adapted to seasonal temperate climates, layered understory light, periodic cold, and variable moisture.

Required botanical traits:
• multiple basal stems
• dense but readable branching
• seasonal foliage
• understory adaptation

Production request:
show closed, opening, mature, pollinated, and spent stages.

Resolve and preserve canonical Studio fields:
{{plantName}}, {{scientificName}}, {{canonicalId}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{humidity}}, {{soilChemistry}}, {{waterRequirement}}, {{growthPattern}}, {{rootType}}, {{stemType}}, {{branchPattern}}, {{leafType}}, {{flowerType}}, {{fruitType}}, {{seedType}}, {{surfaceMaterials}}, {{coloration}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Use NOVERIS Botanical Scientific Realism: premium AAA science-fiction quality, museum-grade botanical presentation, scientifically plausible roots, runners, stems, branch loading, foliage density, reproduction, environmental adaptation, and material response. The organism must reflect its planet, gravity, atmosphere, climate, humidity, soil chemistry, water availability, biome, and ecological role. Preserve locked canon exactly. Use restrained coloration unless canon requires otherwise, coherent growth grammar, a readable silhouette, consistent morphology across all views and life stages, soft neutral production lighting, pure black background for isolated references, complete subject visibility, generous negative space, and PSD-friendly extraction. No baked-in text, labels, watermark, logo, border, or UI.

Avoid:
miniature tree clone, perfect ball shape, ornamental topiary.

Recommended aspect ratio: 16:9.","text, labels, watermark, logo, border, UI, HUD, cropped plant, cropped roots, floating roots, floating stems, duplicate stems, impossible branch intersections, inconsistent leaves, duplicate flowers, duplicate fruit, contradictory morphology, impossible balance, fantasy face, humanoid traits, cartoon, anime, plastic materials, excessive neon, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, miniature tree clone, perfect ball shape, ornamental topiary",1.0.0,canonical
