id,title,category,subcategory,outputType,imageModel,styleProfile,cameraProfile,lightingProfile,prompt,negativePrompt,variables,tags,version
"noveris-visual-prompt-library-volume-ib-avian-flying-creatures-apex-raptor-full-body","Apex Raptor · Full Body","creature","Apex Raptor","Full Body","Nano Banana 2","NOVERIS Scientific Realism","three-quarter","museum-specimen","Create a premium NOVERIS apex raptor full body for Nano Banana 2. canonical NOVERIS avian or flying creature {{SpeciesName}}, scientific name {{ScientificName}}, {{Wing Type}} wings with a {{Wing Span}} wingspan scientifically believable flight anatomy: wing size that supports body mass, wing loading appropriate to {{Gravity}} gravity and {{Air Density}} air density, functional muscle attachment, balanced skeleton, correct center of gravity, feather architecture {{Feather Type}}, lift generation, leg placement for takeoff and landing, and mechanically plausible landing control adapted to {{Planet}}, {{Biome}}, {{Gravity}} gravity, {{Atmosphere}} atmosphere, {{Climate}} climate, {{Wind}} wind, and {{Air Density}} air density; diet {{Diet}}, behavior {{Behavior}}, distinctive features {{Distinctive Features}} {{Primary Material}} materials, {{Color Palette}} palette, premium physically based feather and surface rendering create a precise full body production study with the complete requested subject visible Camera: three-quarter full-body specimen view with the complete flight silhouette readable. Lighting: museum-quality specimen illumination without dramatic shadows. pure black background, isolated subject, no ground plane unless required for anatomical contact. NOVERIS Scientific Realism: museum quality, AAA realism, scientifically believable, clean readable silhouette, PSD-friendly layered extraction, production quality, no text.","text, watermark, frame, logo, UI, cropped subject, duplicate wings, incorrect feather count, impossible wing loading, incorrect anatomy, fantasy armor, weapons, cartoon, anime, oversaturated colors, motion blur, low resolution, compression artifacts, angel wings, fantasy dragons, Earth bird default","SpeciesName | ScientificName | Planet | Biome | Gravity | Atmosphere | Climate | Wind | Air Density | Wing Type | Wing Span | Feather Type | Diet | Behavior | Primary Material | Color Palette | Distinctive Features","creature | apex-raptor | full-body | nano-banana-2 | psd-production | canonical-prompt","1.0.0"
"noveris-visual-prompt-library-volume-ib-avian-flying-creatures-apex-raptor-portrait","Apex Raptor · Portrait","creature","Apex Raptor","Portrait","Nano Banana 2","NOVERIS Scientific Realism","portrait","museum-specimen","Create a premium NOVERIS apex raptor portrait for Nano Banana 2. canonical NOVERIS avian or flying creature {{SpeciesName}}, scientific name {{ScientificName}}, {{Wing Type}} wings with a {{Wing Span}} wingspan scientifically believable flight anatomy: wing size that supports body mass, wing loading appropriate to {{Gravity}} gravity and {{Air Density}} air density, functional muscle attachment, balanced skeleton, correct center of gravity, feather architecture {{Feather Type}}, lift generation, leg placement for takeoff and landing, and mechanically plausible landing control adapted to {{Planet}}, {{Biome}}, {{Gravity}} gravity, {{Atmosphere}} atmosphere, {{Climate}} climate, {{Wind}} wind, and {{Air Density}} air density; diet {{Diet}}, behavior {{Behavior}}, distinctive features {{Distinctive Features}} {{Primary Material}} materials, {{Color Palette}} palette, premium physically based feather and surface rendering create a precise portrait production study with the complete requested subject visible Camera: eye-level portrait framing with clear facial, eye, and beak anatomy. Lighting: museum-quality specimen illumination without dramatic shadows. pure black background, isolated subject, no ground plane unless required for anatomical contact. NOVERIS Scientific Realism: museum quality, AAA realism, scientifically believable, clean readable silhouette, PSD-friendly layered extraction, production quality, no text.","text, watermark, frame, logo, UI, cropped subject, duplicate wings, incorrect feather count, impossible wing loading, incorrect anatomy, fantasy armor, weapons, cartoon, anime, oversaturated colors, motion blur, low resolution, compression artifacts, angel wings, fantasy dragons, Earth bird default","SpeciesName | ScientificName | Planet | Biome | Gravity | Atmosphere | Climate | Wind | Air Density | Wing Type | Wing Span | Feather Type | Diet | Behavior | Primary Material | Color Palette | Distinctive Features","creature | apex-raptor | portrait | nano-banana-2 | psd-production | canonical-prompt","1.0.0"
"noveris-visual-prompt-library-volume-ib-avian-flying-creatures-apex-raptor-head-study","Apex Raptor · Head Study","creature","Apex Raptor","Head Study","Nano Banana 2","NOVERIS Scientific Realism","portrait","museum-specimen","Create a premium NOVERIS apex raptor head study for Nano Banana 2. canonical NOVERIS avian or flying creature {{SpeciesName}}, scientific name {{ScientificName}}, {{Wing Type}} wings with a {{Wing Span}} wingspan scientifically believable flight anatomy: wing size that supports body mass, wing loading appropriate to {{Gravity}} gravity and {{Air Density}} air density, functional muscle attachment, balanced skeleton, correct center of gravity, feather architecture {{Feather Type}}, lift generation, leg placement for takeoff and landing, and mechanically plausible landing control adapted to {{Planet}}, {{Biome}}, {{Gravity}} gravity, {{Atmosphere}} atmosphere, {{Climate}} climate, {{Wind}} wind, and {{Air Density}} air density; diet {{Diet}}, behavior {{Behavior}}, distinctive features {{Distinctive Features}} {{Primary Material}} materials, {{Color Palette}} palette, premium physically based feather and surface rendering create a precise head study production study with the complete requested subject visible Camera: eye-level portrait framing with clear facial, eye, and beak anatomy. Lighting: museum-quality specimen illumination without dramatic shadows. pure black background, isolated subject, no ground plane unless required for anatomical contact. NOVERIS Scientific Realism: museum quality, AAA realism, scientifically believable, clean readable silhouette, PSD-friendly layered extraction, production quality, no text.","text, watermark, frame, logo, UI, cropped subject, duplicate wings, incorrect feather count, impossible wing loading, incorrect anatomy, fantasy armor, weapons, cartoon, anime, oversaturated colors, motion blur, low resolution, compression artifacts, angel wings, fantasy dragons, Earth bird default","SpeciesName | ScientificName | Planet | Biome | Gravity | Atmosphere | Climate | Wind | Air Density | Wing Type | Wing Span | Feather Type | Diet | Behavior | Primary Material | Color Palette | Distinctive Features","creature | apex-raptor | head-study | nano-banana-2 | psd-production | canonical-prompt","1.0.0"
"noveris-visual-prompt-library-volume-ib-avian-flying-creatures-apex-raptor-front-view","Apex Raptor · Front View","creature","Apex Raptor","Front View","Nano Banana 2","NOVERIS Scientific Realism","orthographic-front","museum-specimen","Create a premium NOVERIS apex raptor front view for Nano Banana 2. canonical NOVERIS avian or flying creature {{SpeciesName}}, scientific name {{ScientificName}}, {{Wing Type}} wings with a {{Wing Span}} wingspan scientifically believable flight anatomy: wing size that supports body mass, wing loading appropriate to {{Gravity}} gravity and {{Air Density}} air density, functional muscle attachment, balanced skeleton, correct center of gravity, feather architecture {{Feather Type}}, lift generation, leg placement for takeoff and landing, and mechanically plausible landing control adapted to {{Planet}}, {{Biome}}, {{Gravity}} gravity, {{Atmosphere}} atmosphere, {{Climate}} climate, {{Wind}} wind, and {{Air Density}} air density; diet {{Diet}}, behavior {{Behavior}}, distinctive features {{Distinctive Features}} {{Primary Material}} materials, {{Color Palette}} palette, premium physically based feather and surface rendering create a precise front view production study with the complete requested subject visible Camera: true front orthographic reference with no perspective distortion. Lighting: museum-quality specimen illumination without dramatic shadows. pure black background, isolated subject, no ground plane unless required for anatomical contact. NOVERIS Scientific Realism: museum quality, AAA realism, scientifically believable, clean readable silhouette, PSD-friendly layered extraction, production quality, no text.","text, watermark, frame, logo, UI, cropped subject, duplicate wings, incorrect feather count, impossible wing loading, incorrect anatomy, fantasy armor, weapons, cartoon, anime, oversaturated colors, motion blur, low resolution, compression artifacts, angel wings, fantasy dragons, Earth bird default","SpeciesName | ScientificName | Planet | Biome | Gravity | Atmosphere | Climate | Wind | Air Density | Wing Type | Wing Span | Feather Type | Diet | Behavior | Primary Material | Color Palette | Distinctive Features","creature | apex-raptor | front-view | nano-banana-2 | psd-production | canonical-prompt","1.0.0"
"noveris-visual-prompt-library-volume-ib-avian-flying-creatures-apex-raptor-side-view","Apex Raptor · Side View","creature","Apex Raptor","Side View","Nano Banana 2","NOVERIS Scientific Realism","orthographic-side","museum-specimen","Create a premium NOVERIS apex raptor side view for Nano Banana 2. canonical NOVERIS avian or flying creature {{SpeciesName}}, scientific name {{ScientificName}}, {{Wing Type}} wings with a {{Wing Span}} wingspan scientifically believable flight anatomy: wing size that supports body mass, wing loading appropriate to {{Gravity}} gravity and {{Air Density}} air density, functional muscle attachment, balanced skeleton, correct center of gravity, feather architecture {{Feather Type}}, lift generation, leg placement for takeoff and landing, and mechanically plausible landing control adapted to {{Planet}}, {{Biome}}, {{Gravity}} gravity, {{Atmosphere}} atmosphere, {{Climate}} climate, {{Wind}} wind, and {{Air Density}} air density; diet {{Diet}}, behavior {{Behavior}}, distinctive features {{Distinctive Features}} {{Primary Material}} materials, {{Color Palette}} palette, premium physically based feather and surface rendering create a precise side view production study with the complete requested subject visible Camera: true side orthographic reference with no perspective distortion. Lighting: museum-quality specimen illumination without dramatic shadows. pure black background, isolated subject, no ground plane unless required for anatomical contact. NOVERIS Scientific Realism: museum quality, AAA realism, scientifically believable, clean readable silhouette, PSD-friendly layered extraction, production quality, no text.","text, watermark, frame, logo, UI, cropped subject, duplicate wings, incorrect feather count, impossible wing loading, incorrect anatomy, fantasy armor, weapons, cartoon, anime, oversaturated colors, motion blur, low resolution, compression artifacts, angel wings, fantasy dragons, Earth bird default","SpeciesName | ScientificName | Planet | Biome | Gravity | Atmosphere | Climate | Wind | Air Density | Wing Type | Wing Span | Feather Type | Diet | Behavior | Primary Material | Color Palette | Distinctive Features","creature | apex-raptor | side-view | nano-banana-2 | psd-production | canonical-prompt","1.0.0"
"noveris-visual-prompt-library-volume-ib-avian-flying-creatures-apex-raptor-rear-view","Apex Raptor · Rear View","creature","Apex Raptor","Rear View","Nano Banana 2","NOVERIS Scientific Realism","orthographic-rear","museum-specimen","Create a premium NOVERIS apex raptor rear view for Nano Banana 2. canonical NOVERIS avian or flying creature {{SpeciesName}}, scientific name {{ScientificName}}, {{Wing Type}} wings with a {{Wing Span}} wingspan scientifically believable flight anatomy: wing size that supports body mass, wing loading appropriate to {{Gravity}} gravity and {{Air Density}} air density, functional muscle attachment, balanced skeleton, correct center of gravity, feather architecture {{Feather Type}}, lift generation, leg placement for takeoff and landing, and mechanically plausible landing control adapted to {{Planet}}, {{Biome}}, {{Gravity}} gravity, {{Atmosphere}} atmosphere, {{Climate}} climate, {{Wind}} wind, and {{Air Density}} air density; diet {{Diet}}, behavior {{Behavior}}, distinctive features {{Distinctive Features}} {{Primary Material}} materials, {{Color Palette}} palette, premium physically based feather and surface rendering create a precise rear view production study with the complete requested subject visible Camera: true rear orthographic reference with no perspective distortion. Lighting: museum-quality specimen illumination without dramatic shadows. pure black background, isolated subject, no ground plane unless required for anatomical contact. NOVERIS Scientific Realism: museum quality, AAA realism, scientifically believable, clean readable silhouette, PSD-friendly layered extraction, production quality, no text.","text, watermark, frame, logo, UI, cropped subject, duplicate wings, incorrect feather count, impossible wing loading, incorrect anatomy, fantasy armor, weapons, cartoon, anime, oversaturated colors, motion blur, low resolution, compression artifacts, angel wings, fantasy dragons, Earth bird default","SpeciesName | ScientificName | Planet | Biome | Gravity | Atmosphere | Climate | Wind | Air Density | Wing Type | Wing Span | Feather Type | Diet | Behavior | Primary Material | Color Palette | Distinctive Features","creature | apex-raptor | rear-view | nano-banana-2 | psd-production | canonical-prompt","1.0.0"
"noveris-visual-prompt-library-volume-ib-avian-flying-creatures-apex-raptor-top-view","Apex Raptor · Top View","creature","Apex Raptor","Top View","Nano Banana 2","NOVERIS Scientific Realism","orthographic-top","museum-specimen","Create a premium NOVERIS apex raptor top view for Nano Banana 2. canonical NOVERIS avian or flying creature {{SpeciesName}}, scientific name {{ScientificName}}, {{Wing Type}} wings with a {{Wing Span}} wingspan scientifically believable flight anatomy: wing size that supports body mass, wing loading appropriate to {{Gravity}} gravity and {{Air Density}} air density, functional muscle attachment, balanced skeleton, correct center of gravity, feather architecture {{Feather Type}}, lift generation, leg placement for takeoff and landing, and mechanically plausible landing control adapted to {{Planet}}, {{Biome}}, {{Gravity}} gravity, {{Atmosphere}} atmosphere, {{Climate}} climate, {{Wind}} wind, and {{Air Density}} air density; diet {{Diet}}, behavior {{Behavior}}, distinctive features {{Distinctive Features}} {{Primary Material}} materials, {{Color Palette}} palette, premium physically based feather and surface rendering create a precise top view production study with the complete requested subject visible Camera: true top orthographic reference for silhouette and wing geometry. Lighting: museum-quality specimen illumination without dramatic shadows. pure black background, isolated subject, no ground plane unless required for anatomical contact. NOVERIS Scientific Realism: museum quality, AAA realism, scientifically believable, clean readable silhouette, PSD-friendly layered extraction, production quality, no text.","text, watermark, frame, logo, UI, cropped subject, duplicate wings, incorrect feather count, impossible wing loading, incorrect anatomy, fantasy armor, weapons, cartoon, anime, oversaturated colors, motion blur, low resolution, compression artifacts, angel wings, fantasy dragons, Earth bird default","SpeciesName | ScientificName | Planet | Biome | Gravity | Atmosphere | Climate | Wind | Air Density | Wing Type | Wing Span | Feather Type | Diet | Behavior | Primary Material | Color Palette | Distinctive Features","creature | apex-raptor | top-view | nano-banana-2 | psd-production | canonical-prompt","1.0.0"
"noveris-visual-prompt-library-volume-ib-avian-flying-creatures-apex-raptor-bottom-view","Apex Raptor · Bottom View","creature","Apex Raptor","Bottom View","Nano Banana 2","NOVERIS Scientific Realism","orthographic-bottom","museum-specimen","Create a premium NOVERIS apex raptor bottom view for Nano Banana 2. canonical NOVERIS avian or flying creature {{SpeciesName}}, scientific name {{ScientificName}}, {{Wing Type}} wings with a {{Wing Span}} wingspan scientifically believable flight anatomy: wing size that supports body mass, wing loading appropriate to {{Gravity}} gravity and {{Air Density}} air density, functional muscle attachment, balanced skeleton, correct center of gravity, feather architecture {{Feather Type}}, lift generation, leg placement for takeoff and landing, and mechanically plausible landing control adapted to {{Planet}}, {{Biome}}, {{Gravity}} gravity, {{Atmosphere}} atmosphere, {{Climate}} climate, {{Wind}} wind, and {{Air Density}} air density; diet {{Diet}}, behavior {{Behavior}}, distinctive features {{Distinctive Features}} {{Primary Material}} materials, {{Color Palette}} palette, premium physically based feather and surface rendering create a precise bottom view production study with the complete requested subject visible Camera: true underside orthographic reference for flight and landing anatomy. Lighting: museum-quality specimen illumination without dramatic shadows. pure black background, isolated subject, no ground plane unless required for anatomical contact. NOVERIS Scientific Realism: museum quality, AAA realism, scientifically believable, clean readable silhouette, PSD-friendly layered extraction, production quality, no text.","text, watermark, frame, logo, UI, cropped subject, duplicate wings, incorrect feather count, impossible wing loading, incorrect anatomy, fantasy armor, weapons, cartoon, anime, oversaturated colors, motion blur, low resolution, compression artifacts, angel wings, fantasy dragons, Earth bird default","SpeciesName | ScientificName | Planet | Biome | Gravity | Atmosphere | Climate | Wind | Air Density | Wing Type | Wing Span | Feather Type | Diet | Behavior | Primary Material | Color Palette | Distinctive Features","creature | apex-raptor | bottom-view | nano-banana-2 | psd-production | canonical-prompt","1.0.0"
"noveris-visual-prompt-library-volume-ib-avian-flying-creatures-apex-raptor-orthographic-turnaround","Apex Raptor · Orthographic Turnaround","creature","Apex Raptor","Orthographic Turnaround","Nano Banana 2","NOVERIS Scientific Realism","three-quarter","museum-specimen","Create a premium NOVERIS apex raptor orthographic turnaround for Nano Banana 2. canonical NOVERIS avian or flying creature {{SpeciesName}}, scientific name {{ScientificName}}, {{Wing Type}} wings with a {{Wing Span}} wingspan scientifically believable flight anatomy: wing size that supports body mass, wing loading appropriate to {{Gravity}} gravity and {{Air Density}} air density, functional muscle attachment, balanced skeleton, correct center of gravity, feather architecture {{Feather Type}}, lift generation, leg placement for takeoff and landing, and mechanically plausible landing control adapted to {{Planet}}, {{Biome}}, {{Gravity}} gravity, {{Atmosphere}} atmosphere, {{Climate}} climate, {{Wind}} wind, and {{Air Density}} air density; diet {{Diet}}, behavior {{Behavior}}, distinctive features {{Distinctive Features}} {{Primary Material}} materials, {{Color Palette}} palette, premium physically based feather and surface rendering show a production turnaround with consistent scale, grounded orientation, and no labels Camera: three-quarter full-body specimen view with the complete flight silhouette readable. Lighting: museum-quality specimen illumination without dramatic shadows. pure black background, isolated subject, no ground plane unless required for anatomical contact. NOVERIS Scientific Realism: museum quality, AAA realism, scientifically believable, clean readable silhouette, PSD-friendly layered extraction, production quality, no text.","text, watermark, frame, logo, UI, cropped subject, duplicate wings, incorrect feather count, impossible wing loading, incorrect anatomy, fantasy armor, weapons, cartoon, anime, oversaturated colors, motion blur, low resolution, compression artifacts, angel wings, fantasy dragons, Earth bird default","SpeciesName | ScientificName | Planet | Biome | Gravity | Atmosphere | Climate | Wind | Air Density | Wing Type | Wing Span | Feather Type | Diet | Behavior | Primary Material | Color Palette | Distinctive Features","creature | apex-raptor | orthographic-turnaround | nano-banana-2 | psd-production | canonical-prompt","1.0.0"
"noveris-visual-prompt-library-volume-ib-avian-flying-creatures-apex-raptor-wing-spread","Apex Raptor · Wing Spread","creature","Apex Raptor","Wing Spread","Nano Banana 2","NOVERIS Scientific Realism","wing-detail","museum-specimen","Create a premium NOVERIS apex raptor wing spread for Nano Banana 2. canonical NOVERIS avian or flying creature {{SpeciesName}}, scientific name {{ScientificName}}, {{Wing Type}} wings with a {{Wing Span}} wingspan scientifically believable flight anatomy: wing size that supports body mass, wing loading appropriate to {{Gravity}} gravity and {{Air Density}} air density, functional muscle attachment, balanced skeleton, correct center of gravity, feather architecture {{Feather Type}}, lift generation, leg placement for takeoff and landing, and mechanically plausible landing control adapted to {{Planet}}, {{Biome}}, {{Gravity}} gravity, {{Atmosphere}} atmosphere, {{Climate}} climate, {{Wind}} wind, and {{Air Density}} air density; diet {{Diet}}, behavior {{Behavior}}, distinctive features {{Distinctive Features}} {{Primary Material}} materials, {{Color Palette}} palette, premium physically based feather and surface rendering create a precise wing spread production study with the complete requested subject visible Camera: controlled wing-detail view showing feather architecture, lift surfaces, and attachment points. Lighting: museum-quality specimen illumination without dramatic shadows. pure black background, isolated subject, no ground plane unless required for anatomical contact. NOVERIS Scientific Realism: museum quality, AAA realism, scientifically believable, clean readable silhouette, PSD-friendly layered extraction, production quality, no text.","text, watermark, frame, logo, UI, cropped subject, duplicate wings, incorrect feather count, impossible wing loading, incorrect anatomy, fantasy armor, weapons, cartoon, anime, oversaturated colors, motion blur, low resolution, compression artifacts, angel wings, fantasy dragons, Earth bird default","SpeciesName | ScientificName | Planet | Biome | Gravity | Atmosphere | Climate | Wind | Air Density | Wing Type | Wing Span | Feather Type | Diet | Behavior | Primary Material | Color Palette | Distinctive Features","creature | apex-raptor | wing-spread | nano-banana-2 | psd-production | canonical-prompt","1.0.0"
