promptId,archetypeId,archetypeName,outputType,outputName,aspectRatio,positivePrompt,negativePrompt,version,status
NB2-CRE-IF-001-GROUND-ARTHROPOD-FULL-BODY,CRE-IF-001-GROUND-ARTHROPOD,Ground Arthropod,full-body,Full Body Production Render,3:4,"Create a canonical NOVERIS Nano Banana 2 visual for Ground Arthropod: Full Body Production Render.

Canonical archetype:
A canonical ground arthropod designed as a scientifically plausible lifeform whose body plan, support system, locomotion, sensing, metabolism, ecology, and environmental adaptations are internally coherent.

Required visual and biological rules:
• functional anatomy
• credible center of mass
• coherent locomotion
• environment-linked materials
• ecologically plausible scale

Production request:
Create complete mature specimen, neutral pose, entire body visible.

Studio-resolved canonical values:
{{canonicalId}}, {{displayName}}, {{scientificName}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Preserve every locked canonical field exactly. The result must use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible structure, coherent materials, restrained coloration unless canon requires otherwise, readable silhouette, consistent scale and anatomy or growth across all views, soft neutral studio lighting, pure black background for isolated references, full requested subject visibility, generous negative space, and PSD-friendly extraction. Habitat and biome outputs may use the canonical environment. No baked-in text, labels, watermark, logo, border, or UI.

Create four clearly different but canon-compliant versions. Preserve body plan or growth architecture, structural counts, environmental adaptations, materials, defining features, and locked coloration. Vary only permitted secondary proportions, markings, surface detail, minor ornamentation, natural wear, and pose or growth irregularity.

Recommended aspect ratio: 3:4.","text, labels, watermark, signature, logo, border, frame, UI, HUD, cropped subject, duplicate anatomy, contradictory anatomy, impossible balance, unsupported structures, random wings, random horns, humanoid default, fantasy armor, weapons, cartoon, anime, toy-like materials, excessive neon, excessive glow, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, generic Earth copy, unsupported fantasy styling, traits conflicting with locked canon",1.0.0,canonical
NB2-CRE-IF-001-GROUND-ARTHROPOD-PORTRAIT,CRE-IF-001-GROUND-ARTHROPOD,Ground Arthropod,portrait,Portrait,1:1,"Create a canonical NOVERIS Nano Banana 2 visual for Ground Arthropod: Portrait.

Canonical archetype:
A canonical ground arthropod designed as a scientifically plausible lifeform whose body plan, support system, locomotion, sensing, metabolism, ecology, and environmental adaptations are internally coherent.

Required visual and biological rules:
• functional anatomy
• credible center of mass
• coherent locomotion
• environment-linked materials
• ecologically plausible scale

Production request:
Create head and upper body emphasizing sensory anatomy and defining materials.

Studio-resolved canonical values:
{{canonicalId}}, {{displayName}}, {{scientificName}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Preserve every locked canonical field exactly. The result must use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible structure, coherent materials, restrained coloration unless canon requires otherwise, readable silhouette, consistent scale and anatomy or growth across all views, soft neutral studio lighting, pure black background for isolated references, full requested subject visibility, generous negative space, and PSD-friendly extraction. Habitat and biome outputs may use the canonical environment. No baked-in text, labels, watermark, logo, border, or UI.

Create four clearly different but canon-compliant versions. Preserve body plan or growth architecture, structural counts, environmental adaptations, materials, defining features, and locked coloration. Vary only permitted secondary proportions, markings, surface detail, minor ornamentation, natural wear, and pose or growth irregularity.

Recommended aspect ratio: 1:1.","text, labels, watermark, signature, logo, border, frame, UI, HUD, cropped subject, duplicate anatomy, contradictory anatomy, impossible balance, unsupported structures, random wings, random horns, humanoid default, fantasy armor, weapons, cartoon, anime, toy-like materials, excessive neon, excessive glow, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, generic Earth copy, unsupported fantasy styling, traits conflicting with locked canon",1.0.0,canonical
NB2-CRE-IF-001-GROUND-ARTHROPOD-ORTHO-FRONT,CRE-IF-001-GROUND-ARTHROPOD,Ground Arthropod,ortho-front,Orthographic Front,3:4,"Create a canonical NOVERIS Nano Banana 2 visual for Ground Arthropod: Orthographic Front.

Canonical archetype:
A canonical ground arthropod designed as a scientifically plausible lifeform whose body plan, support system, locomotion, sensing, metabolism, ecology, and environmental adaptations are internally coherent.

Required visual and biological rules:
• functional anatomy
• credible center of mass
• coherent locomotion
• environment-linked materials
• ecologically plausible scale

Production request:
Create exact front orthographic view.

Studio-resolved canonical values:
{{canonicalId}}, {{displayName}}, {{scientificName}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Preserve every locked canonical field exactly. The result must use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible structure, coherent materials, restrained coloration unless canon requires otherwise, readable silhouette, consistent scale and anatomy or growth across all views, soft neutral studio lighting, pure black background for isolated references, full requested subject visibility, generous negative space, and PSD-friendly extraction. Habitat and biome outputs may use the canonical environment. No baked-in text, labels, watermark, logo, border, or UI.

Create four clearly different but canon-compliant versions. Preserve body plan or growth architecture, structural counts, environmental adaptations, materials, defining features, and locked coloration. Vary only permitted secondary proportions, markings, surface detail, minor ornamentation, natural wear, and pose or growth irregularity.

Recommended aspect ratio: 3:4.","text, labels, watermark, signature, logo, border, frame, UI, HUD, cropped subject, duplicate anatomy, contradictory anatomy, impossible balance, unsupported structures, random wings, random horns, humanoid default, fantasy armor, weapons, cartoon, anime, toy-like materials, excessive neon, excessive glow, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, generic Earth copy, unsupported fantasy styling, traits conflicting with locked canon",1.0.0,canonical
NB2-CRE-IF-001-GROUND-ARTHROPOD-ORTHO-SIDE,CRE-IF-001-GROUND-ARTHROPOD,Ground Arthropod,ortho-side,Orthographic Side,3:4,"Create a canonical NOVERIS Nano Banana 2 visual for Ground Arthropod: Orthographic Side.

Canonical archetype:
A canonical ground arthropod designed as a scientifically plausible lifeform whose body plan, support system, locomotion, sensing, metabolism, ecology, and environmental adaptations are internally coherent.

Required visual and biological rules:
• functional anatomy
• credible center of mass
• coherent locomotion
• environment-linked materials
• ecologically plausible scale

Production request:
Create exact side orthographic view.

Studio-resolved canonical values:
{{canonicalId}}, {{displayName}}, {{scientificName}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Preserve every locked canonical field exactly. The result must use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible structure, coherent materials, restrained coloration unless canon requires otherwise, readable silhouette, consistent scale and anatomy or growth across all views, soft neutral studio lighting, pure black background for isolated references, full requested subject visibility, generous negative space, and PSD-friendly extraction. Habitat and biome outputs may use the canonical environment. No baked-in text, labels, watermark, logo, border, or UI.

Create four clearly different but canon-compliant versions. Preserve body plan or growth architecture, structural counts, environmental adaptations, materials, defining features, and locked coloration. Vary only permitted secondary proportions, markings, surface detail, minor ornamentation, natural wear, and pose or growth irregularity.

Recommended aspect ratio: 3:4.","text, labels, watermark, signature, logo, border, frame, UI, HUD, cropped subject, duplicate anatomy, contradictory anatomy, impossible balance, unsupported structures, random wings, random horns, humanoid default, fantasy armor, weapons, cartoon, anime, toy-like materials, excessive neon, excessive glow, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, generic Earth copy, unsupported fantasy styling, traits conflicting with locked canon",1.0.0,canonical
NB2-CRE-IF-001-GROUND-ARTHROPOD-ORTHO-REAR,CRE-IF-001-GROUND-ARTHROPOD,Ground Arthropod,ortho-rear,Orthographic Rear,3:4,"Create a canonical NOVERIS Nano Banana 2 visual for Ground Arthropod: Orthographic Rear.

Canonical archetype:
A canonical ground arthropod designed as a scientifically plausible lifeform whose body plan, support system, locomotion, sensing, metabolism, ecology, and environmental adaptations are internally coherent.

Required visual and biological rules:
• functional anatomy
• credible center of mass
• coherent locomotion
• environment-linked materials
• ecologically plausible scale

Production request:
Create exact rear orthographic view.

Studio-resolved canonical values:
{{canonicalId}}, {{displayName}}, {{scientificName}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Preserve every locked canonical field exactly. The result must use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible structure, coherent materials, restrained coloration unless canon requires otherwise, readable silhouette, consistent scale and anatomy or growth across all views, soft neutral studio lighting, pure black background for isolated references, full requested subject visibility, generous negative space, and PSD-friendly extraction. Habitat and biome outputs may use the canonical environment. No baked-in text, labels, watermark, logo, border, or UI.

Create four clearly different but canon-compliant versions. Preserve body plan or growth architecture, structural counts, environmental adaptations, materials, defining features, and locked coloration. Vary only permitted secondary proportions, markings, surface detail, minor ornamentation, natural wear, and pose or growth irregularity.

Recommended aspect ratio: 3:4.","text, labels, watermark, signature, logo, border, frame, UI, HUD, cropped subject, duplicate anatomy, contradictory anatomy, impossible balance, unsupported structures, random wings, random horns, humanoid default, fantasy armor, weapons, cartoon, anime, toy-like materials, excessive neon, excessive glow, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, generic Earth copy, unsupported fantasy styling, traits conflicting with locked canon",1.0.0,canonical
NB2-CRE-IF-001-GROUND-ARTHROPOD-TURNAROUND,CRE-IF-001-GROUND-ARTHROPOD,Ground Arthropod,turnaround,Turnaround Sheet,16:9,"Create a canonical NOVERIS Nano Banana 2 visual for Ground Arthropod: Turnaround Sheet.

Canonical archetype:
A canonical ground arthropod designed as a scientifically plausible lifeform whose body plan, support system, locomotion, sensing, metabolism, ecology, and environmental adaptations are internally coherent.

Required visual and biological rules:
• functional anatomy
• credible center of mass
• coherent locomotion
• environment-linked materials
• ecologically plausible scale

Production request:
Create front, side, rear, top and underside at identical scale.

Studio-resolved canonical values:
{{canonicalId}}, {{displayName}}, {{scientificName}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Preserve every locked canonical field exactly. The result must use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible structure, coherent materials, restrained coloration unless canon requires otherwise, readable silhouette, consistent scale and anatomy or growth across all views, soft neutral studio lighting, pure black background for isolated references, full requested subject visibility, generous negative space, and PSD-friendly extraction. Habitat and biome outputs may use the canonical environment. No baked-in text, labels, watermark, logo, border, or UI.

Create four clearly different but canon-compliant versions. Preserve body plan or growth architecture, structural counts, environmental adaptations, materials, defining features, and locked coloration. Vary only permitted secondary proportions, markings, surface detail, minor ornamentation, natural wear, and pose or growth irregularity.

Recommended aspect ratio: 16:9.","text, labels, watermark, signature, logo, border, frame, UI, HUD, cropped subject, duplicate anatomy, contradictory anatomy, impossible balance, unsupported structures, random wings, random horns, humanoid default, fantasy armor, weapons, cartoon, anime, toy-like materials, excessive neon, excessive glow, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, generic Earth copy, unsupported fantasy styling, traits conflicting with locked canon",1.0.0,canonical
NB2-CRE-IF-001-GROUND-ARTHROPOD-SUPPORT,CRE-IF-001-GROUND-ARTHROPOD,Ground Arthropod,support,Skeleton or Support Structure,16:9,"Create a canonical NOVERIS Nano Banana 2 visual for Ground Arthropod: Skeleton or Support Structure.

Canonical archetype:
A canonical ground arthropod designed as a scientifically plausible lifeform whose body plan, support system, locomotion, sensing, metabolism, ecology, and environmental adaptations are internally coherent.

Required visual and biological rules:
• functional anatomy
• credible center of mass
• coherent locomotion
• environment-linked materials
• ecologically plausible scale

Production request:
Create complete mechanical support system and joint logic.

Studio-resolved canonical values:
{{canonicalId}}, {{displayName}}, {{scientificName}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Preserve every locked canonical field exactly. The result must use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible structure, coherent materials, restrained coloration unless canon requires otherwise, readable silhouette, consistent scale and anatomy or growth across all views, soft neutral studio lighting, pure black background for isolated references, full requested subject visibility, generous negative space, and PSD-friendly extraction. Habitat and biome outputs may use the canonical environment. No baked-in text, labels, watermark, logo, border, or UI.

Create four clearly different but canon-compliant versions. Preserve body plan or growth architecture, structural counts, environmental adaptations, materials, defining features, and locked coloration. Vary only permitted secondary proportions, markings, surface detail, minor ornamentation, natural wear, and pose or growth irregularity.

Recommended aspect ratio: 16:9.","text, labels, watermark, signature, logo, border, frame, UI, HUD, cropped subject, duplicate anatomy, contradictory anatomy, impossible balance, unsupported structures, random wings, random horns, humanoid default, fantasy armor, weapons, cartoon, anime, toy-like materials, excessive neon, excessive glow, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, generic Earth copy, unsupported fantasy styling, traits conflicting with locked canon",1.0.0,canonical
NB2-CRE-IF-001-GROUND-ARTHROPOD-ANATOMY,CRE-IF-001-GROUND-ARTHROPOD,Ground Arthropod,anatomy,Internal Anatomy,16:9,"Create a canonical NOVERIS Nano Banana 2 visual for Ground Arthropod: Internal Anatomy.

Canonical archetype:
A canonical ground arthropod designed as a scientifically plausible lifeform whose body plan, support system, locomotion, sensing, metabolism, ecology, and environmental adaptations are internally coherent.

Required visual and biological rules:
• functional anatomy
• credible center of mass
• coherent locomotion
• environment-linked materials
• ecologically plausible scale

Production request:
Create major respiratory, circulatory, digestive, sensory and reproductive systems.

Studio-resolved canonical values:
{{canonicalId}}, {{displayName}}, {{scientificName}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Preserve every locked canonical field exactly. The result must use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible structure, coherent materials, restrained coloration unless canon requires otherwise, readable silhouette, consistent scale and anatomy or growth across all views, soft neutral studio lighting, pure black background for isolated references, full requested subject visibility, generous negative space, and PSD-friendly extraction. Habitat and biome outputs may use the canonical environment. No baked-in text, labels, watermark, logo, border, or UI.

Create four clearly different but canon-compliant versions. Preserve body plan or growth architecture, structural counts, environmental adaptations, materials, defining features, and locked coloration. Vary only permitted secondary proportions, markings, surface detail, minor ornamentation, natural wear, and pose or growth irregularity.

Recommended aspect ratio: 16:9.","text, labels, watermark, signature, logo, border, frame, UI, HUD, cropped subject, duplicate anatomy, contradictory anatomy, impossible balance, unsupported structures, random wings, random horns, humanoid default, fantasy armor, weapons, cartoon, anime, toy-like materials, excessive neon, excessive glow, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, generic Earth copy, unsupported fantasy styling, traits conflicting with locked canon",1.0.0,canonical
NB2-CRE-IF-001-GROUND-ARTHROPOD-LIFECYCLE,CRE-IF-001-GROUND-ARTHROPOD,Ground Arthropod,lifecycle,Lifecycle Sheet,16:9,"Create a canonical NOVERIS Nano Banana 2 visual for Ground Arthropod: Lifecycle Sheet.

Canonical archetype:
A canonical ground arthropod designed as a scientifically plausible lifeform whose body plan, support system, locomotion, sensing, metabolism, ecology, and environmental adaptations are internally coherent.

Required visual and biological rules:
• functional anatomy
• credible center of mass
• coherent locomotion
• environment-linked materials
• ecologically plausible scale

Production request:
Create reproductive form, juvenile, adult and elder stages.

Studio-resolved canonical values:
{{canonicalId}}, {{displayName}}, {{scientificName}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Preserve every locked canonical field exactly. The result must use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible structure, coherent materials, restrained coloration unless canon requires otherwise, readable silhouette, consistent scale and anatomy or growth across all views, soft neutral studio lighting, pure black background for isolated references, full requested subject visibility, generous negative space, and PSD-friendly extraction. Habitat and biome outputs may use the canonical environment. No baked-in text, labels, watermark, logo, border, or UI.

Create four clearly different but canon-compliant versions. Preserve body plan or growth architecture, structural counts, environmental adaptations, materials, defining features, and locked coloration. Vary only permitted secondary proportions, markings, surface detail, minor ornamentation, natural wear, and pose or growth irregularity.

Recommended aspect ratio: 16:9.","text, labels, watermark, signature, logo, border, frame, UI, HUD, cropped subject, duplicate anatomy, contradictory anatomy, impossible balance, unsupported structures, random wings, random horns, humanoid default, fantasy armor, weapons, cartoon, anime, toy-like materials, excessive neon, excessive glow, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, generic Earth copy, unsupported fantasy styling, traits conflicting with locked canon",1.0.0,canonical
NB2-CRE-IF-001-GROUND-ARTHROPOD-VARIANTS,CRE-IF-001-GROUND-ARTHROPOD,Ground Arthropod,variants,Canonical Variants,16:9,"Create a canonical NOVERIS Nano Banana 2 visual for Ground Arthropod: Canonical Variants.

Canonical archetype:
A canonical ground arthropod designed as a scientifically plausible lifeform whose body plan, support system, locomotion, sensing, metabolism, ecology, and environmental adaptations are internally coherent.

Required visual and biological rules:
• functional anatomy
• credible center of mass
• coherent locomotion
• environment-linked materials
• ecologically plausible scale

Production request:
Create regional, seasonal, sex, caste, morph or engineered variants.

Studio-resolved canonical values:
{{canonicalId}}, {{displayName}}, {{scientificName}}, {{originPlanet}}, {{planetType}}, {{biome}}, {{gravity}}, {{atmosphere}}, {{climate}}, {{temperatureRange}}, {{sizeScale}}, {{coloration}}, {{materials}}, {{distinctiveFeatures}}, {{lockedTraits}}, {{rarity}}, {{artDirection}}.

Preserve every locked canonical field exactly. The result must use NOVERIS Scientific Realism: premium AAA science-fiction quality, museum-grade reference presentation, scientifically plausible structure, coherent materials, restrained coloration unless canon requires otherwise, readable silhouette, consistent scale and anatomy or growth across all views, soft neutral studio lighting, pure black background for isolated references, full requested subject visibility, generous negative space, and PSD-friendly extraction. Habitat and biome outputs may use the canonical environment. No baked-in text, labels, watermark, logo, border, or UI.

Create four clearly different but canon-compliant versions. Preserve body plan or growth architecture, structural counts, environmental adaptations, materials, defining features, and locked coloration. Vary only permitted secondary proportions, markings, surface detail, minor ornamentation, natural wear, and pose or growth irregularity.

Recommended aspect ratio: 16:9.","text, labels, watermark, signature, logo, border, frame, UI, HUD, cropped subject, duplicate anatomy, contradictory anatomy, impossible balance, unsupported structures, random wings, random horns, humanoid default, fantasy armor, weapons, cartoon, anime, toy-like materials, excessive neon, excessive glow, oversaturated colors, busy background, motion blur, low resolution, compression artifacts, generic Earth copy, unsupported fantasy styling, traits conflicting with locked canon",1.0.0,canonical
